Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
BD	Berry, Paul	Berry	Paul	BD	NA	NA
BPE	Berry, Paul E.	Berry	Paul E.	BPE	NA	2
BCL	Bertero, Carlo Luigi Giuseppe	Bertero	Carlo Luigi Giuseppe	BCL	NA	2
BMC	Beza Mahafaly Collection Team	Beza Mahafaly Collection Team	NA	BMC	NA	2
E	Bidault, Ehoarn	Bidault	Ehoarn	E	NA	2
BGS	Bidgood, Gillian Sally	Bidgood	Gillian Sally	BGS	NA	2
BF	Biganzoli, Fernando	Biganzoli	Fernando	BF	NA	2
BILF	Billiet, Frieda	Billiet	Frieda	BILF	NA	2
BMG	Bingham, Michael Graham	Bingham	Michael Graham	BMG	NA	2
CB	Birkinshaw, Christopher	Birkinshaw	Christopher Robert	CB	NA	NA
CB	Birkinshaw, Christopher Robert	Birkinshaw	Christopher Robert	CB	NA	NA
BS	Blackmore, Stephen	Blackmore	Stephen	BS	NA	2
BJS	Blanchet, Jacques Samuel	Blanchet	Jacques Samuel	BJS	NA	2
BCA	Blanco, Carlos A.	Blanco	Carlos A.	BCA	NA	2
BLAL	Blandón, Lenner	Blandón	Lenner	BLAL	NA	2
BSA	Bodine, Sharon Ann	Bodine	Sharon Ann	BSA	NA	2
BC	Bodner, Connie Cox	Bodner	Connie Cox	BC	NA	2
BLH	Boivin, Louis Hyacinthe	Boivin	Louis Hyacinthe	BLH	NA	1
WB	Bojer, Wenceslas (Wenzel)	Bojer	Wenceslas (Wenzel)	WB	NA	1
BRF	Bolliger, Ralph F.	Bolliger	Ralph F.	BRF	NA	2
BONJ	Bono, José	Bono	José	BONJ	NA	2
BBM	Boom, Brian Morey	Boom	Brian Morey	BBM	NA	2
BJM	Bosser, Jean Marie	Bosser	Jean Marie	BJM	NA	1
BA	Boupoya, Archange	Boupoya	Archange	BA	NA	2
BHE	Box, Harold Edmund	Box	Harold Edmund	BHE	NA	2
BBL	Boyle, Bradley Lorne	Boyle	Bradley Lorne	BBL	NA	2
JCB	Bradford, Jason C.	Bradford	Jason C.	JCB	NA	NA
BJC	Bradford, Jason Christopher	Bradford	Jason Christopher	BJC	NA	2
BAF	Bradley, Adam F.	Bradley	Adam F.	BAF	NA	2
JMA	Braga, João Marcelo Alvarenga	Braga	João Marcelo Alvarenga	JMA	NA	2
BSJ	Brandbyge, John S.	Brandbyge	John S.	BSJ	NA	2
BDE	Breedlove, Dennis E.	Breedlove	Dennis E.	BDE	NA	2
BAM	Brenes Mora, Alberto Manuel	Brenes Mora	Alberto Manuel	BAM	NA	2
BFF	Breteler, Franciscus ("Frans") Jozef (Joseph)	Breteler	Franciscus ("Frans") Jozef (Joseph)	BFF	NA	2
BSW	Brewer, Steven W.	Brewer	Steven W.	BSW	NA	2
MB	Briggs, Marie	Briggs	Marie	MB	NA	1
BNL	Britton, Nathaniel Lord	Britton	Nathaniel Lord	BNL	NA	2
BWE	Broadway, Walter Elias	Broadway	Walter Elias	BWE	NA	2
BNV	Brokaw, Nick V. L.	Brokaw	Nick V. L.	BNV	NA	2
BRR	Brooks, Robert Richard	Brooks	Robert Richard	BRR	NA	2
BJL	Brown, John L.	Brown	John L.	BJL	NA	2
BJD	Bruijn, J. de	Bruijn	J. de	BJD	NA	2
BDR	Brunner, David Russell	Brunner	David Russell	BDR	NA	2
BUCM	Buckner, Margaret	Buckner	Margaret	BUCM	NA	2
