Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
MHN	MANJAKAHERY	Manjakahery	Herisoa Nantena	MHN	NA	4
MHN	MANJAKAHERY, *	Manjakahery	Herisoa Nantena	MHN	NA	2
MHN	Manjakahery, Herisoa N.	Manjakahery	Herisoa Nantena	MHN	NA	1
MHN	Manjakahery, Herisoa Nantena	Manjakahery	Herisoa Nantena	MHN	NA	NA
MNV	Manjato, Nadiah Vololomboahangy	Manjato	Nadiah Vololomboahangy	MNV	NA	NA
MVD	Mansano, Vidal de Freitas	Mansano	Vidal de Freitas	MVD	NA	2
MOG	Marín Ojeda, Griselda	Marín Ojeda	Griselda	MOG	NA	2
MARC	Markstrom, Cecilia	Markstrom	Cecilia	MARC	NA	2
MARJ	Márquez, Juan	Márquez	Juan	MARJ	NA	2
MCR	Marroquin Castro, R.	Marroquin Castro	R.	MCR	NA	2
MRA	Marshall, Andrew R.	Marshall	Andrew R.	MRA	NA	2
MR	Martial	Martial	Martial	MR	NA	NA
MARG	Martinelli, Gustavo	Martinelli	Gustavo	MARG	NA	2
MCG	Martínez Calderón, Guadalupe	Martínez Calderón	Guadalupe	MCG	NA	2
MMM	Martínez Meléndez, Manuel	Martínez Meléndez	Manuel	MMM	NA	2
MRC	Martínez Ramírez, Cipriano	Martínez Ramírez	Cipriano	MRC	NA	2
MSE	Martínez Salas, Esteban Manuel	Martínez Salas	Esteban Manuel	MSE	NA	1
MKL	Martínez Sequeira, Kattia Lorena	Martínez Sequeira	Kattia Lorena	MKL	NA	2
MRJ	Martínez, José Rómulo	Martínez	José Rómulo	MRJ	NA	2
MVM	Martínez, Victor Manuel	Martínez	Victor Manuel	MVM	NA	2
MCK	Martius, Carl (Karl) Friedrich Philipp von	Martius	Carl (Karl) Friedrich Philipp von	MCK	NA	2
MO	Marulanda, Orlando	Marulanda	Orlando	MO	NA	2
MV	Maruñak, Victor	Maruñak	Victor	MV	NA	2
MASC	Mas, Cyrille	Mas	Cyrille	MASC	NA	2
ML	Masinkery, Laihandroy	Masinkery	Laihandroy	ML	NA	1
MASG	Massawe, Genevieve	Massawe	Genevieve	MASG	NA	2
MATE	MATECHI, *	MATECHI	NA	MATE	NA	2
MG	Mathieu, Guido	Mathieu	Guido	MG	NA	NA
ETAM	Matuda, Eizi	Matuda	Eizi	ETAM	NA	2
OM	Maurin, Olivier	Maurin	Olivier	OM	NA	1
MAWF	Mawi, F.	Mawi	F.	MAWF	NA	2
MWR	Maxon, William Ralph	Maxon	William Ralph	MWR	NA	2
MJF	Maxwell, James F.	Maxwell	James F.	MJF	NA	2
MAYJ	Mayombo, Joseph	Mayombo	Joseph	MAYJ	NA	2
MFM	Mbago, Frank M.	Mbago	Frank M.	MFM	NA	2
MGV	Mbilinyi, G. V.	Mbilinyi	G. V.	MGV	NA	2
MEI	Mboya, Emanuel I.	Mboya	Emanuel I.	MEI	NA	2
MTS	McDaniel, Sidney Thomas	McDaniel	Sidney Thomas	MTS	NA	2
MTD	McDowell, Timothy Don	McDowell	Timothy Don	MTD	NA	2
MHL	McMillen, H. L.	McMillen	H. L.	MHL	NA	2
MCP	McPherson, Gordon	McPherson	Gordon	MCP	NA	NA
GMP	McPherson, Gordon D.	McPherson	Gordon D.	GMP	NA	NA
MCVR	McVaugh, Rogers	McVaugh	Rogers	MCVR	NA	2
MJA	Meave, Jorge Arturo	Meave	Jorge Arturo	MJA	NA	2
MEDM	Medina, Miguel	Medina	Miguel	MEDM	NA	2
MKE	Medley, Kimberley E.	Medley	Kimberley E.	MKE	NA	2
MW	Meijer, Willem	Meijer	Willem	MW	NA	2
MJE	Meireles, José Eduardo	Meireles	José Eduardo	MJE	NA	2
MEJA	Mejía, A.	Mejía	A.	MEJA	NA	2
MEMM	Mejía, Milcíades Manuel	Mejía	Milcíades Manuel	MEMM	NA	2
MCJ	Meller, Charles James	Meller	Charles James	MCJ	NA	2
MNJ	Melo, Néstor J.	Melo	Néstor J.	MNJ	NA	2
MGA	Méndez Girón, Alonso	Méndez Girón	Alonso	MGA	NA	2
MENE	Meneces, Elias	Meneces	Elias	MENE	NA	2
MLF	Menéndez L., F.	Menéndez L.	F.	MLF	NA	2
MEJ	Menjívar Cruz, Jenny Elizabeth	Menjívar Cruz	Jenny Elizabeth	MEJ	NA	2
MMC	Merello, Mary Christine	Merello	Mary Christine	MMC	NA	2
MESN	Messmer, N.	Messmer	N.	MESN	NA	2
NM	Messmer, Nathalie	Messmer	Nathalie	NM	NA	NA
MESK	Messner, Kurt	Messner	Kurt	MESK	NA	2
METP	Metele, Peter	Metele	Peter	METP	NA	2
MYE	Mexia, Ynés Enriquetta Julietta	Mexia	Ynés Enriquetta Julietta	MYE	NA	2
MEYG	Meyer, G.	Meyer	G.	MEYG	NA	2
MDM	Meyers, David M.	Meyers	David M.	MDM	NA	1
MBE	Mhoro, Boniface E.	Mhoro	Boniface E.	MBE	NA	2
MIC	Miandrimanana, Cyprien	Miandrimanana	Cyprien	MIC	NA	NA
MDJ	Middleton, David John	Middleton	David John	MDJ	NA	1
MJS	Miller, James (Jim) Spencer	Miller	James (Jim) Spencer	MJS	NA	1
JM	Miller, Jim	Miller	Jim	JM	NA	NA
MTB	Miranda Gonzáles, Tatiana Bladenka	Miranda Gonzáles	Tatiana Bladenka	MTB	NA	2
MBN	Missouri Botanical Garden, *	Missouri Botanical Garden	NA	MBN	NA	2
MAJ	Mlangwa, John Amani	Mlangwa	John Amani	MAJ	NA	2
MH	Mnendendo, Hamidu	Mnendendo	Hamidu	MH	NA	2
MOCA	Mocquerys, Albert	Mocquerys	Albert	MOCA	NA	2
MM	Moeller, Michael	Moeller	Michael	MM	NA	NA
MRJA	Molina Rosito, José Antonio	Molina Rosito	José Antonio	MRJA	NA	2
MOLN	Mollel, Neduvoto	Mollel	Neduvoto	MOLN	NA	2
MJR	Monja, José Rakotomahafaly	Monja	José Rakotomahafaly	MJR	NA	1
MAK	Monro, Alexandre Kenneth	Monro	Alexandre Kenneth	MAK	NA	2
MOMA	Monteagudo Mendoza, Abel	Monteagudo Mendoza	Abel	MOMA	NA	2
MSJ	Monterrosa Salomón, Jorge Alberto	Monterrosa Salomón	Jorge Alberto	MSJ	NA	2
JE	Montes, José E.	Montes	José E.	JE	NA	2
JL	Mora, Jean-Luc	Mora	Jean-Luc	JL	NA	NA
MPL	Moraes, Pedro Luís Rodrigues de	Moraes	Pedro Luís Rodrigues de	MPL	NA	2
MCJE	Morales Can, Julio Enrique	Morales Can	Julio Enrique	MCJE	NA	2
MQJ	Morales Quirós, Juan Francisco	Morales Quirós	Juan Francisco	MQJ	NA	2
PM	Morat, Philippe	Morat	Philippe	PM	NA	1
JJM	Morawetz, Jeffery	Morawetz	Jeffery	JJM	NA	NA
MPI	Moreno Casasola, Patricia I.	Moreno Casasola	Patricia I.	MPI	NA	2
MOPP	Moreno, Pedro Pablo	Moreno	Pedro Pablo	MOPP	NA	2
MSA	Mori, Scott Alan	Mori	Scott Alan	MSA	NA	2
MGN	Morillo, Gilberto N.	Morillo	Gilberto N.	MGN	NA	2
MON	Morrone, Osvaldo N.	Morrone	Osvaldo N.	MON	NA	2
MJK	Morton, John Kenneth	Morton	John Kenneth	MJK	NA	2
MOCB	Mostacedo C., Bonifacio	Mostacedo C.	Bonifacio	MOCB	NA	2
MOMJ	Mouandza Mbembo, Jean-Claude	Mouandza Mbembo	Jean-Claude	MOMJ	NA	2
MOUA	Moungazi, Augustin	Moungazi	Augustin	MOUA	NA	2
MAL	Moya Huanca, Araceli Laura	Moya Huanca	Araceli Laura	MAL	NA	2
MLA	Mroginski, L. A.	Mroginski	L. A.	MLA	NA	2
MTUR	MTURI, *	MTURI	NA	MTUR	NA	2
MME	Múlgura, María Ema	Múlgura	María Ema	MME	NA	2
MJC	Murillo Aldana, José Carmelo	Murillo Aldana	José Carmelo	MJC	NA	2
MAM	Mwangoka, Moses A.	Mwangoka	Moses A.	MAM	NA	2
MNA	Mwangulango, Nathan A.	Mwangulango	Nathan A.	MNA	NA	2
MLB	Mwasumbi, Leonard Beluke	Mwasumbi	Leonard Beluke	MLB	NA	2
MGT	Mwiga, G. T.	Mwiga	G. T.	MGT	NA	2
NMR	NA	NA	NA	NMR	NA	NA
NACW	Nachamba, W.	Nachamba	W.	NACW	NA	2
NOC	Nascimento, O. C. do	Nascimento	O. C. do	NOC	NA	2
NJO	Ndege, John Otieno	Ndege	John Otieno	NJO	NA	2
NMH	Nee, Michael H.	Nee	Michael H.	NMH	NA	2
NDA	Neill, David Alan	Neill	David Alan	NDA	NA	2
NFI	Nek, F. Ivan van	Nek	F. Ivan van	NFI	NA	1
NCH	Nelson, Cyril Hardy	Nelson	Cyril Hardy	NCH	NA	2
NEB	Nelson, E. Bruce	Nelson	E. Bruce	NEB	NA	2
NEC	Ngagnia, Eddy Clerc	Ngagnia	Eddy Clerc	NEC	NA	2
NGUD	Nguema, Diosdado	Nguema	Diosdado	NGUD	NA	2
NTH	Nguyên, Tiên Hiêp	Nguyên	Tiên Hiêp	NTH	NA	2
NRN	Niangadouma, Raoul N.	Niangadouma	Raoul N.	NRN	NA	2
NMF	Nicoll, Marion F.	Nicoll	Marion F.	NMF	NA	1
NDH	Nicolson, Dan Henry	Nicolson	Dan Henry	NDH	NA	2
NB	Nieto Ariza, Beatriz	Nieto Ariza	Beatriz	NB	NA	2
LN	Nikolov, Lachezar	Nikolov	Lachezar	LN	NA	1
NBT	Nimba Botanical Team	Nimba Botanical Team	NA	NBT	NA	2
NE	Njau, E.	Njau	E.	NE	NA	2
NA	Noblick, Larry	Noblick	Larry	NA	NA	4
NN	NOBREGA, *	NOBREGA	NA	NN	NA	2
NZM	Nombanjanahary, Zoherinjina Minosoa	Nombanjanahary	Zoherinjina Minosoa	NZM	NA	NA
NORR	NORRIS, *	NORRIS	NA	NORR	NA	2
NLA	Novelo Retana, Luis Alejandro	Novelo Retana	Luis Alejandro	NLA	NA	2
NRD	Noyes, Richard [Rick] David	Noyes	Richard [Rick] David	NRD	NA	1
NSN	Núñez S., Santiago	Núñez S.	Santiago	NSN	NA	1
NP	Núñez Vargas, Percy	Núñez Vargas	Percy	NP	NA	2
NLP	Nusbaumer, Louis Paul Gustave Alvin	Nusbaumer	Louis Paul Gustave Alvin	NLP	NA	1
NYAM	Nyange, M.	Nyange	M.	NYAM	NA	2
OCCP	Occhioni, Pedro	Occhioni	Pedro	OCCP	NA	2
OAS	Oersted, Anders Sandøe	Oersted	Anders Sandøe	OAS	NA	2
OKTA	OKTAN	OKTAN	NA	OKTA	NA	2
ORA	Oldeman, Roelof Arend Albert	Oldeman	Roelof Arend Albert	ORA	NA	2
OR	Oliveira, Rosa	Oliveira	Rosa	OR	NA	2
OB	Øllgaard, Benjamin	Øllgaard	Benjamin	OB	NA	2
RO	Omlor, Ralf	Omlor	Ralf	RO	NA	1
OGE	Onjalalaina, Guy E.	Onjalalaina	Guy E.	OGE	NA	1
OPA	Opler, Paul Alexander	Opler	Paul Alexander	OPA	NA	2
OCR	Orcutt, Charles Russell	Orcutt	Charles Russell	OCR	NA	2
OMT	Ordonez, M. T.	Ordonez	M. T.	OMT	NA	2
ON	Ortega, *	Ortega	NA	ON	NA	2
OF	Ortiz, Felícito	Ortiz	Felícito	OF	NA	2
ORT	Ortíz, Rolando Tún	Ortíz	Rolando Tún	ORT	NA	2
OJI	Otero Jañez, José Idilio	Otero Jañez	José Idilio	OJI	NA	2
OD	OVERDORFF, *	OVERDORFF	NA	OD	NA	2
OD	Overdorff, D.	Overdorff	D.	OD	NA	2
PMR	Pace, Marcelo Rodrigo	Pace	Marcelo Rodrigo	PMR	NA	1
PWA	Palacios Cuenca, Walter Armando	Palacios Cuenca	Walter Armando	PWA	NA	2
PE	Palmer, Edward	Palmer	Edward	PE	NA	2
PNY	Paniagua Zambrana, Narel Yaroslava	Paniagua Zambrana	Narel Yaroslava	PNY	NA	2
PS	Pap, S.	Pap	S.	PS	NA	2
PGA	Parada-Gutierrez, Germaine Alexander	Parada-Gutierrez	Germaine Alexander	PGA	NA	2
PN	Paredes, *	Paredes	NA	PN	NA	2
PI	Parmentier, Ingrid	Parmentier	Ingrid	PI	NA	2
PO	Pascal, O.	Pascal	O.	PO	NA	2
PG	Paz y Miño C., Guillermo	Paz y Miño C.	Guillermo	PG	NA	2
PTM	Pedersen, Troels Myndel	Pedersen	Troels Myndel	PTM	NA	2
PB	Peguero, Brígido	Peguero	Brígido	PB	NA	2
PAL	Peixoto, Ariane Luna	Peixoto	Ariane Luna	PAL	NA	2
JP	Peltier, Jacqueline	Peltier	Jacqueline	JP	NA	1
MP	Peltier, Maurice	Peltier	Maurice	MP	NA	1
PERJ	Perea, Juan	Perea	Juan	PERJ	NA	2
PERE	Pereira, *	Pereira	NA	PERE	NA	2
PBA	Pereira, B. A. S.	Pereira	B. A. S.	PBA	NA	2
EREP	Pereira, Edmundo	Pereira	Edmundo	EREP	NA	2
PL	Pérez de Molas, Lidia	Pérez de Molas	Lidia	PL	NA	2
PERM	Pérez, M.	Pérez	M.	PERM	NA	2
PME	Pérez, Mervin E.	Pérez	Mervin E.	PME	NA	2
PERR	Pérez, R.	Pérez	R.	PERR	NA	2
HPB	Perrier de la Bâthie, Joseph Marie Henry Alfred	Perrier de la Bâthie	Joseph Marie Henry Alfred	HPB	NA	1
PERA	Perry, Alan	Perry	Alan	PERA	NA	2
PAC	Persaud, A. C.	Persaud	A. C.	PAC	NA	2
PA	Pervillé, Auguste	Pervillé	Auguste	PA	NA	1
PAG	Peter, Gustav Albert	Peter	Gustav Albert	PAG	NA	2
PPM	Peterson, Paul M.	Peterson	Paul M.	PPM	NA	2
PBE	Pettersson, Börge Erik	Pettersson	Börge Erik	PBE	NA	2
POL	Phillips, Oliver L.	Phillips	Oliver L.	POL	NA	2
PBP	Phillipson, Peter B.	Phillipson	Peter B.	PBP	NA	NA
PICC	Pichon, C.	Pichon	C.	PICC	NA	2
PDB	Pickel, D. Bento	Pickel	D. Bento	PDB	NA	2
PINA	PINATE, *	PINATE	NA	PINA	NA	2
PJJ	Pipoly, John James,  III	Pipoly	John James	PJJ	NA	2
PJR	Pirani, José Rubens	Pirani	José Rubens	PJR	NA	2
PDA	Pires da Silveira, A. L.	Pires da Silveira	A. L.	PDA	NA	2
PNC	Pitman, Nigel C. A.	Pitman	Nigel C. A.	PNC	NA	2
PHE	Pittier, Henri (Enrique, Henry) François	Pittier	Henri (Enrique	PHE	NA	2
PTC	Plowman, Timothy Charles	Plowman	Timothy Charles	PTC	NA	2
PGM	Plunkett, Gregory Michael	Plunkett	Gregory Michael	PGM	NA	2
PJB	Pohl, Johann Baptist Emanuel	Pohl	Johann Baptist Emanuel	PJB	NA	2
PP	Poilecot, Pierre	Poilecot	Pierre	PP	NA	1
PRM	Polhill, Roger Marcus	Polhill	Roger Marcus	PRM	NA	2
PCL	Pollard, Charles Louis	Pollard	Charles Louis	PCL	NA	2
PAS	Poma Chura, Abraham Salomon	Poma Chura	Abraham Salomon	PAS	NA	2
OP	Poncy, Odile	Poncy	Odile	OP	NA	NA
PJM	Poole, Jackie M.	Poole	Jackie M.	PJM	NA	2
POUS	Poulain, Simon	Poulain	Simon	POUS	NA	2
PLJ	Poveda Álvarez, Luis Jorge	Poveda Álvarez	Luis Jorge	PLJ	NA	2
PGI	Prance, Ghillean (Iain) Tolmie	Prance	Ghillean (Iain) Tolmie	PGI	NA	2
PD	Price, D.	Price	D.	PD	NA	2
PRIA	Prieto, Adriana	Prieto	Adriana	PRIA	NA	2
PCG	Pringle, Cyrus Guernsey	Pringle	Cyrus Guernsey	PCG	NA	2
PROJ	Procter, John	Procter	John	PROJ	NA	2
PGR	Proctor, *	Proctor	NA	PGR	NA	2
PGR	Proctor, George Richardson	Proctor	George Richardson	PGR	NA	2
PJF	Pruski, John Francis	Pruski	John Francis	PJF	NA	2
PDE	Puleston, Dennis E.	Puleston	Dennis E.	PDE	NA	2
PAA	Pulle, August Adriaan	Pulle	August Adriaan	PAA	NA	2
PCK	Purpus, Carl (Karl) Albert	Purpus	Carl (Karl) Albert	PCK	NA	2
QHJ	Quero Rico, Hermilo Jorge Ramón	Quero Rico	Hermilo Jorge Ramón	QHJ	NA	2
QFJ	Quesada Quesada, Francisco Javier	Quesada Quesada	Francisco Javier	QFJ	NA	2
QFA	Quesada Quesada, Freddy Antonio	Quesada Quesada	Freddy Antonio	QFA	NA	2
QRC	Quevedo Sopepí, Roberto Carlos	Quevedo Sopepí	Roberto Carlos	QRC	NA	2
QJB	Quezada Bonilla, José Benito	Quezada Bonilla	José Benito	QJB	NA	2
QLM	Quiñones, Luz Mila	Quiñones	Luz Mila	QLM	NA	2
QJM	Quisbert Quispe, Javier Martín	Quisbert Quispe	Javier Martín	QJM	NA	2
ROM	Rabarijaona, Narindra Romer	Rabarijaona	Narindra Romer	ROM	NA	NA
RABR	Rabarijaona, Romer	Rabarijaona	Romer	RABR	NA	2
MAR	Rabarimanarivo, Marina	Rabarimanarivo	Marina	MAR	NA	NA
RML	Rabarivola, Linah M.	Rabarivola	Linah M.	RML	NA	1
RJU	Rabe, Justin	Rabe	Justin	RJU	NA	NA
RDA	Rabearivony, Dimbilala Aina	Rabearivony	Dimbilala Aina Nomenjanahary	RDA	NA	1
RAB	Rabearivony, Dimbilala Aina Nomenjanahary	Rabearivony	Dimbilala Aina Nomenjanahary	RAB	NA	NA
RTA	Rabefarihy, Andriantsoa Tahiry	Rabefarihy	Andriantsoa Tahiry	RTA	NA	NA
RTA	Rabefarihy, Tahiry A.	Rabefarihy	Tahiry A.	RTA	NA	1
RAD	Rabehevitra, David	Rabehevitra	David	RAD	NA	NA
RKM	Rabekoloina, Manohisoa	Rabekoloina	Manohisoa	RKM	NA	NA
RBV	Rabelo, Benedito V.	Rabelo	Benedito V.	RBV	NA	2
RJO	RABENANTOANDRO, *	RABENANTOANDRO	Johny	RJO	NA	2
RJO	Rabenantoandro, Johny	Rabenantoandro	Johny	RJO	NA	NA
RNR	Rabesandratana, Rachel N.	Rabesandratana	Rachel N.	RNR	NA	2
R	RABEVOHITRA	Rabevohitra	Raymond	R	NA	4
R	RABEVOHITRA, *	RABEVOHITRA	Raymond	R	NA	2
R	Rabevohitra, Raymond	Rabevohitra	Raymond	R	NA	NA
RCN	Rado Claudio, Nandrasana	Rado Claudio	Nandrasana	RCN	NA	NA
RNJ	Rafanomezantsoa, Norlin Jean Odoris	Rafanomezantsoa	Norlin Jean Odoris	RNJ	NA	2
RON	Rafanomezantsoa, Odoris Norlin	Rafanomezantsoa	Odoris Norlin	RON	NA	NA
RGM	RAHAJASOA, *	RAHAJASOA	Grâce Monique	RGM	NA	2
RGM	Rahajasoa, Grace Monique	Rahajasoa	Grâce Monique	RGM	NA	NA
RGM	Rahajasoa, Grâce Monique	Rahajasoa	Grâce Monique	RGM	NA	1
RAHJ	Rahantamalala, Josette	Rahantamalala	Josette	RAHJ	NA	2
RER	Raharijaona, Era Riana	Raharijaona	Era Riana	RER	NA	NA
J	Raharilala, Jeannine	Raharilala	Jeannine	J	NA	NA
FR	Raharimalala, Fidèle	Raharimalala	Fidèle	FR	NA	1
RV	Raharimalala, V.	Raharimalala	V.	RV	NA	2
JNI	Raharimampionona, Jeannie	Raharimampionona	Jeannie	JNI	NA	NA
MER	Rahelivololona, Marie Elisette	Rahelivololona	Marie Elisette	MER	NA	NA
RLC	Raholivelo, Liliane Christine	Raholivelo	Liliane Christine	RLC	NA	NA
FAR	Rajaonary, Fano A.	Rajaonary	Fano A.	FAR	NA	NA
RJS	Rajaonary, Stanislas	Rajaonary	Stanislas	RJS	NA	NA
RVL	Rajaovelona, Landy	Rajaovelona	Landy	RVL	NA	1
RRI	Rajemisa, Richard	Rajemisa	Richard	RRI	NA	NA
RAJR	Rajoharison, R.	Rajoharison	R.	RAJR	NA	2
RRA	Rajoharison, Rivo	Rajoharison	Rivo	RRA	NA	NA
RR	Rakoto, Raphael	Rakoto	Raphael	RR	NA	NA
RSE	Rakotoarisoa, Eric Solofo	Rakotoarisoa	Solofo Eric	RSE	NA	NA
RAF	Rakotoarisoa, Fenonirina	Rakotoarisoa	Fenonirina	RAF	NA	NA
RSE	Rakotoarisoa, Solofo Eric	Rakotoarisoa	Solofo Eric	RSE	NA	NA
RKN	Rakotoarivelo, Nivo H.	Rakotoarivelo	Nivo Hariniaina	RKN	NA	NA
RKN	Rakotoarivelo, Nivo Hariniaina	Rakotoarivelo	Nivo Hariniaina	RKN	NA	NA
RL	Rakotomalala, Liva	Rakotomalala	Liva	RL	NA	NA
PJ	Rakotomalaza, Pierre Jules	Rakotomalaza	Pierre Jules "Coca"	PJ	NA	NA
PJ	Rakotomalaza, Pierre Jules "Coca"	Rakotomalaza	Pierre Jules "Coca"	PJ	NA	1
ST	RAKOTONANDRASANA	Rakotonandrasana	Stéphan	ST	NA	4
ST	RAKOTONANDRASANA, *	Rakotonandrasana	Stéphan	ST	NA	2
ST	Rakotonandrasana, Stephan	Rakotonandrasana	Stéphan	ST	NA	NA
ST	Rakotonandrasana, Stéphan	Rakotonandrasana	Stéphan	ST	NA	1
RNF	Rakotonasolo, Franck	Rakotonasolo	Franck	RNF	NA	NA
RLL	Rakotondrafara, Andriamalala	Rakotondrafara	Andriamalala	RLL	NA	NA
ROL	Rakotondrajaona, Roland	Rakotondrajaona	Roland	ROL	NA	NA
RLG	Rakotondranony, L. G.	Rakotondranony	L. G.	RLG	NA	1
OKAR	RAKOTONIAINA, *	RAKOTONIAINA	NA	OKAR	NA	2
RBO	Rakotonindriana, Bruno	Rakotonindriana	Bruno	RBO	NA	NA
RAG	Rakotonirina, Arsène Giovanni	Rakotonirina	Arsène Giovanni	RAG	NA	NA
BEN	Rakotonirina, Benja	Rakotonirina	Benja	BEN	NA	NA
RZC	Rakotonirina, Casmir	Rakotonirina	Casmir Zoly	RZC	NA	NA
RZC	Rakotonirina, Casmir Zoly	Rakotonirina	Casmir Zoly	RZC	NA	NA
RNH	Rakotonirina, Nivohenintsoa	Rakotonirina	Nivohenintsoa	RNH	NA	NA
RP	Rakotonirina, Paul	Rakotonirina	Paul	RP	NA	1
CR	Rakotovao, Charles	Rakotovao	Charles	CR	NA	NA
RAR	Rakotozafy, Armand	Rakotozafy	Armand	RAR	NA	1
BFL	Rakotozafy, B. F. L.	Rakotozafy	Brice Funk Lee	BFL	NA	1
BFL	Rakotozafy, Brice Funk Lee	Rakotozafy	Brice Funk Lee	BFL	NA	NA
RTH	Rakouth, Hasina Nomentsoa	Rakouth	Hasina Nomentsoa	RTH	NA	NA
RBM	Ralaijaona, Benjamina	Ralaijaona	Benjamina	RBM	NA	NA
TOK	Ralainaorina, Toky Niaina	Ralainaorina	Toky Niaina	TOK	NA	NA
RLI	Ralimanana, Hélène	Ralimanana	Hélène	RLI	NA	NA
AMR	Ramahefaharivelo, Ando Malala	Ramahefaharivelo	Ando Malala	AMR	NA	NA
RJH	Ramahefarison, Jacquis Harimbolasoa	Ramahefarison	Jacquis Harimbolasoa	RJH	NA	NA
RJA	Ramahenina, Joharintsoa Aina	Ramahenina	Joharintsoa Aina	RJA	NA	NA
RB	Ramamonjiarisoa, Bakolimalala	Ramamonjiarisoa	Bakolimalala	RB	NA	NA
RAMH	Ramamonjisoa, H.	Ramamonjisoa	H.	RAMH	NA	2
RTP	Ramamoorthy, Thennilapuram Parasuraman	Ramamoorthy	Thennilapuram Parasuraman	RTP	NA	2
RMF	Ramanakoto, Miora Falimiarana	Ramanakoto	Miora Falimiarana	RMF	NA	NA
RMF	Ramanakoto, Miora M.	Ramanakoto	Miora Falimiarana	RMF	same as Miora Falimiarana?	NA
RHM	Ramanambohitra, Herinambinina Navalona	Ramanambohitra	Herinambinina Navalona	RHM	NA	NA
RHM	Ramanambohitra, Navalona Herinambinina	Ramanambohitra	Herinambinina Navalona	RHM	NA	NA
RRH	Ramananjanahary, Rondro	Ramananjanahary	Rondro Hanitrinitiana	RRH	NA	NA
RRH	Ramananjanahary, Rondro Hanitrinitiana	Ramananjanahary	Rondro Hanitrinitiana	RRH	NA	1
NAT	Ramanantenasoa, Nantenaina	Ramanantenasoa	Nantenaina	NAT	NA	NA
RRN	Ramanantsialonina, Ravo Nantenaina	Ramanantsialonina	Ravo Nantenaina	RRN	NA	NA
RSD	Ramandimbimanana, S. D.	Ramandimbimanana	S. D.	RSD	NA	2
RBR	Ramandimbisoa, Brigitte	Ramandimbisoa	Brigitte	RBR	NA	NA
RFN	Ramanitrinizaka, Fanilo Malala	Ramanitrinizaka	Fanilo	RFN	NA	NA
RFN	Ramanitrinizaka, Fanilo	Ramanitrinizaka	Fanilo	RFN	NA	NA
RAMB	Rambo, Balduino	Rambo	Balduino	RAMB	NA	2
RCP	Ramírez C., P.	Ramírez C.	P.	RCP	NA	2
RCR	Ramírez Catauga, Ramón	Ramírez Catauga	Ramón	RCR	NA	2
RVH	Ramírez Villalobos, Víctor Hugo	Ramírez Villalobos	Víctor Hugo	RVH	NA	2
RRG	Ramison, Roger Georgensen	Ramison	Roger Georgensen	RRG	NA	NA
RED	Ramisy, Edmond	Ramisy	Edmond	RED	NA	NA
RAML	Ramon, Laurence	Ramon	Laurence	RAML	NA	2
LRA	Ranaivoarisoa, L.	Ranaivoarisoa	L.	LRA	NA	1
RANA	RANAIVOJAONA, *	RANAIVOJAONA	NA	RANA	NA	2
ROR	Ranaivojaona, Rolland	Ranaivojaona	Rolland	ROR	NA	NA
RNT	Ranaivoson, N. T.	Ranaivoson	N. T.	RNT	NA	2
HR	Ranarivelo, Heritiana	Ranarivelo	Heritiana	HR	changed from RHS	NA
RT	Ranarivelo, Tianjanahary	Ranarivelo	Tianjanahary	RT	NA	2
RCH	Randimbiarison, C. H.	Randimbiarison	C. H.	RCH	NA	2
ROZ	Randimbison, Maherizo	Randimbison	Maherizo	ROZ	NA	NA
RPJ	Randria, Paul Joseph	Randria	Paul Joseph	RPJ	NA	NA
RDG	Randriamahazomanana, Daniel George	Randriamahazomanana	Daniel George	RDG	NA	NA
RBB	Randriamampionona, Bébéronn	Randriamampionona	Bébéronn	RBB	NA	NA
ANAR	Randriamanantena, A.	Randriamanantena	A.	ANAR	NA	2
RJL	Randriamanarivo, Juliette	Randriamanarivo	Juliette	RJL	NA	NA
RRE	Randriamarosoa, Rémi	Randriamarosoa	Rémi	RRE	NA	NA
RANT	Randriamboavonjy, Tianjanahary	Randriamboavonjy	Tianjanahary	RANT	NA	2
ROC	Randriambololomamonjy, Ornella C.	Randriambololomamonjy	Ornella Christine	ROC	NA	1
ROC	Randriambololomamonjy, Ornella Christine	Randriambololomamonjy	Ornella Christine	ROC	NA	NA
BM	Randriambololona, Michel Bien-Aimé	Randriambololona	Michel Bien-Aimé	BM	NA	NA
TNM	Randriamiharisoa, Tolojanahary Nirina M.	Randriamiharisoa	Tolojanahary Nirina M.	TNM	NA	2
RTN	Randriamiharisoa, Tolojanahary Nirina Maria	Randriamiharisoa	Tolojanahary Nirina Maria	RTN	NA	NA
RIR	Randrianaivo, Richard	Randrianaivo	Richard	RIR	NA	NA
RCS	Randrianarivelo, Clairemont	Randrianarivelo	Clairemont	RCS	NA	NA
TAB	Randrianarivony, Tabita	Randrianarivony	Tabita	TAB	NA	NA
RA	Randrianasolo, Armand	Randrianasolo	Armand	RA	NA	NA
RJ	Randrianasolo, Joma	Randrianasolo	Joma	RJ	NA	NA
SSR	Randrianasolo, Sennen Solofo	Randrianasolo	Sennen Solofo	SSR	NA	NA
RMO	Randrianjanahary, Miramasoandro Onitiana	Randrianjanahary	Miramasoandro Onitiana	RMO	NA	NA
RLM	Randrianjanaka, Lucien Marson	Randrianjanaka	Lucien Marson	RLM	NA	NA
