Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment
MEMM	Mejía, Milcíades Manuel	Mejía	Milcíades Manuel	MEMM	NA
MENE	Meneces, Elias	Meneces	Elias	MENE	NA
MER	Rahelivololona, Marie Elisette	Rahelivololona	Marie Elisette	MER	NA
MESK	Messner, Kurt	Messner	Kurt	MESK	NA
METP	Metele, Peter	Metele	Peter	METP	NA
MEYG	Meyer, G.	Meyer	G.	MEYG	NA
MF	Mamani M., Fabiana	Mamani M.	Fabiana	MF	NA
MFC	Magogo, Frank Charles	Magogo	Frank Charles	MFC	NA
MFM	Mbago, Frank M.	Mbago	Frank M.	MFM	NA
MG	Mathieu, Guido	Mathieu	Guido	MG	NA
MGA	Méndez Girón, Alonso	Méndez Girón	Alonso	MGA	NA
MGN	Morillo, Gilberto N.	Morillo	Gilberto N.	MGN	NA
MGT	Mwiga, G. T.	Mwiga	G. T.	MGT	NA
MGV	Mbilinyi, G. V.	Mbilinyi	G. V.	MGV	NA
MH	Mnendendo, Hamidu	Mnendendo	Hamidu	MH	NA
MHL	McMillen, H. L.	McMillen	H. L.	MHL	NA
MNH	MANJAKAHERY	Manjakahery	Herisoa Nantena	MNH	NA
MNH	MANJAKAHERY, *	Manjakahery	Herisoa Nantena	MNH	NA
MNH	Manjakahery, Herisoa N.	Manjakahery	Herisoa Nantena	MNH	NA
MNH	Manjakahery, Herisoa Nantena	Manjakahery	Herisoa Nantena	MNH	NA
MIC	Miandrimanana, Cyprien	Miandrimanana	Cyprien	MIC	NA
MJ	Belgrano, Manuel Joaquín	Belgrano	Manuel Joaquín	MJ	NA
MJA	Meave, Jorge Arturo	Meave	Jorge Arturo	MJA	NA
MJC	Murillo Aldana, José Carmelo	Murillo Aldana	José Carmelo	MJC	NA
MJE	Meireles, José Eduardo	Meireles	José Eduardo	MJE	NA
MJF	Maxwell, James F.	Maxwell	James F.	MJF	NA
MJK	Morton, John Kenneth	Morton	John Kenneth	MJK	NA
MJM	MacDougal, John Mochrie	MacDougal	John Mochrie	MJM	NA
MRJ	Monja, José Rakotomahafaly	Monja	José Rakotomahafaly	MRJ	NA
MK	Keraudren, Monique	Keraudren	Monique	MK	NA
MKE	Medley, Kimberley E.	Medley	Kimberley E.	MKE	NA
MKL	Martínez Sequeira, Kattia Lorena	Martínez Sequeira	Kattia Lorena	MKL	NA
MLA	Mroginski, L. A.	Mroginski	L. A.	MLA	NA
MLB	Mwasumbi, Leonard Beluke	Mwasumbi	Leonard Beluke	MLB	NA
MLF	Menéndez L., F.	Menéndez L.	F.	MLF	NA
MM	Moeller, Michael	Moeller	Michael	MM	NA
MMA	Magaña A., M. A.	Magaña A.	M. A.	MMA	NA
MMC	Merello, Mary Christine	Merello	Mary Christine	MMC	NA
MME	Múlgura, María Ema	Múlgura	María Ema	MME	NA
MMJ	Macía, Manuel J.	Macía	Manuel J.	MMJ	NA
MMM	Martínez Meléndez, Manuel	Martínez Meléndez	Manuel	MMM	NA
MMR	Madiomanana, Mintina Roberta Cathy	Madiomanana	Mintina Roberta Cathy	MMR	NA
MN	Chase, Mary  (née Merrill) Agnes	Chase	Mary  (née Merrill) Agnes	MN	NA
MNA	Mwangulango, Nathan A.	Mwangulango	Nathan A.	MNA	NA
MNJ	Melo, Néstor J.	Melo	Néstor J.	MNJ	NA
MNV	Manjato, Nadiah Vololomboahangy	Manjato	Nadiah Vololomboahangy	MNV	NA
MO	Marulanda, Orlando	Marulanda	Orlando	MO	NA
MOCA	Mocquerys, Albert	Mocquerys	Albert	MOCA	NA
MOCB	Mostacedo C., Bonifacio	Mostacedo C.	Bonifacio	MOCB	NA
MOG	Marín Ojeda, Griselda	Marín Ojeda	Griselda	MOG	NA
MOLN	Mollel, Neduvoto	Mollel	Neduvoto	MOLN	NA
MOMA	Monteagudo Mendoza, Abel	Monteagudo Mendoza	Abel	MOMA	NA
MOMJ	Mouandza Mbembo, Jean-Claude	Mouandza Mbembo	Jean-Claude	MOMJ	NA
MON	Morrone, Osvaldo N.	Morrone	Osvaldo N.	MON	NA
MOPP	Moreno, Pedro Pablo	Moreno	Pedro Pablo	MOPP	NA
MOUA	Moungazi, Augustin	Moungazi	Augustin	MOUA	NA
MP	Peltier, Maurice	Peltier	Maurice	MP	NA
MPI	Moreno Casasola, Patricia I.	Moreno Casasola	Patricia I.	MPI	NA
MPL	Moraes, Pedro Luís Rodrigues de	Moraes	Pedro Luís Rodrigues de	MPL	NA
MPP	Maas, Paulus (Paul) Johannes Maria	Maas	Paulus (Paul) Johannes Maria	MPP	NA
MQD	MacQueen, Duncan J.	MacQueen	Duncan J.	MQD	NA
MQJ	Morales Quirós, Juan Francisco	Morales Quirós	Juan Francisco	MQJ	NA
MR	Martial	Martial	Martial	MR	NA
MRA	Marshall, Andrew R.	Marshall	Andrew R.	MRA	NA
MRC	Martínez Ramírez, Cipriano	Martínez Ramírez	Cipriano	MRC	NA
MJR	Martínez, José Rómulo	Martínez	José Rómulo	MJR	NA
MRJA	Molina Rosito, José Antonio	Molina Rosito	José Antonio	MRJA	NA
MRZ	Razafindrakotosoa, Miora	Razafindrakotosoa	Miora	MRZ	NA
MS	Scharmann, Mathias	Scharmann	Mathias	MS	NA
MSA	Mori, Scott Alan	Mori	Scott Alan	MSA	NA
MSE	Martínez Salas, Esteban Manuel	Martínez Salas	Esteban Manuel	MSE	NA
MSJ	Monterrosa Salomón, Jorge Alberto	Monterrosa Salomón	Jorge Alberto	MSJ	NA
MSL	Masinkery, Laihandroy	Masinkery	Laihandroy	MSL	NA
MT	Thulin, Mats Ingmar	Thulin	Mats Ingmar	MT	NA
MTB	Miranda Gonzáles, Tatiana Bladenka	Miranda Gonzáles	Tatiana Bladenka	MTB	NA
MTD	McDowell, Timothy Don	McDowell	Timothy Don	MTD	NA
MTS	McDaniel, Sidney Thomas	McDaniel	Sidney Thomas	MTS	NA
MTUR	MTURI, *	MTURI	NA	MTUR	NA
MU	Ursch, M	Ursch	M	MU	NA
MV	Maruñak, Victor	Maruñak	Victor	MV	NA
MVD	Mansano, Vidal de Freitas	Mansano	Vidal de Freitas	MVD	NA
MVM	Martínez, Victor Manuel	Martínez	Victor Manuel	MVM	NA
MW	Meijer, Willem	Meijer	Willem	MW	NA
MWR	Maxon, William Ralph	Maxon	William Ralph	MWR	NA
MYE	Mexia, Ynés Enriquetta Julietta	Mexia	Ynés Enriquetta Julietta	MYE	NA
N	ARMAND, *	ARMAND	NA	N	NA
NA	Noblick, Larry	Noblick	Larry	NA	NA
NACW	Nachamba, W.	Nachamba	W.	NACW	NA
NAT	Ramanantenasoa, Nantenaina	Ramanantenasoa	Nantenaina	NAT	NA
NB	Nieto Ariza, Beatriz	Nieto Ariza	Beatriz	NB	NA
NBT	Nimba Botanical Team	Nimba Botanical Team	NA	NBT	NA
NCH	Nelson, Cyril Hardy	Nelson	Cyril Hardy	NCH	NA
ND	Dumetz, Nicolas	Dumetz	Nicolas	ND	NA
NDA	Neill, David Alan	Neill	David Alan	NDA	NA
NDH	Nicolson, Dan Henry	Nicolson	Dan Henry	NDH	NA
NE	Njau, E.	Njau	E.	NE	NA
NEB	Nelson, E. Bruce	Nelson	E. Bruce	NEB	NA
NEC	Ngagnia, Eddy Clerc	Ngagnia	Eddy Clerc	NEC	NA
NFI	Nek, F. Ivan van	Nek	F. Ivan van	NFI	NA
NGUD	Nguema, Diosdado	Nguema	Diosdado	NGUD	NA
NH	Helme, Nick	Helme	Nick	NH	NA
NJO	Ndege, John Otieno	Ndege	John Otieno	NJO	NA
NLA	Novelo Retana, Luis Alejandro	Novelo Retana	Luis Alejandro	NLA	NA
NLP	Nusbaumer, Louis Paul Gustave Alvin	Nusbaumer	Louis Paul Gustave Alvin	NLP	NA
NM	Messmer, N.	Messmer	Nathalie	NM	NA
NM	Messmer, Nathalie	Messmer	Nathalie	NM	NA
NMF	Nicoll, Marion F.	Nicoll	Marion F.	NMF	NA
NMH	Nee, Michael H.	Nee	Michael H.	NMH	NA
NMR	Rajaonarivelo, Njaranirina Mickael	Rajaonarivelo	Njaranirina Mickael	NMR	NA
NN	NOBREGA, *	NOBREGA	NA	NN	NA
NOC	Nascimento, O. C. do	Nascimento	O. C. do	NOC	NA
NORR	NORRIS, *	NORRIS	NA	NORR	NA
NP	Núñez Vargas, Percy	Núñez Vargas	Percy	NP	NA
NR	Noyes, Richard [Rick] David	Noyes	Richard [Rick] David	NR	NA
NRD	Ramahefamanana, Narindra Mbolasoa	Ramahefamanana	Narindra Mbolasoa	NRD	NA
NRN	Niangadouma, Raoul N.	Niangadouma	Raoul N.	NRN	NA
NSN	Núñez S., Santiago	Núñez S.	Santiago	NSN	NA
NSR	Rasoanaivo, N.S.	Rasoanaivo	Niry	NSR	NA
NSR	Rasoanaivo, Niry	Rasoanaivo	Niry	NSR	NA
NTH	Nguyên, Tiên Hiêp	Nguyên	Tiên Hiêp	NTH	NA
NV	Vasey, N.	Vasey	N.	NV	NA
NW	Wilding, Nicholas	Wilding	Nicholas	NW	NA
NYAM	Nyange, M.	Nyange	M.	NYAM	NA
NZM	Nombanjanahary, Zoherinjina Minosoa	Nombanjanahary	Zoherinjina Minosoa	NZM	NA
O	Handro, Oswaldo	Handro	Oswaldo	O	NA
OA	Andrianantoanina, Olivier	Andrianantoanina	Olivier	OA	NA
OAS	Oersted, Anders Sandøe	Oersted	Anders Sandøe	OAS	NA
OB	Øllgaard, Benjamin	Øllgaard	Benjamin	OB	NA
OCCP	Occhioni, Pedro	Occhioni	Pedro	OCCP	NA
OCR	Orcutt, Charles Russell	Orcutt	Charles Russell	OCR	NA
OD	OVERDORFF, *	Overdorff	D.	OD	NA
OD	Overdorff, D.	Overdorff	D.	OD	NA
OF	Ortiz, Felícito	Ortiz	Felícito	OF	NA
OGE	Onjalalaina, Guy E.	Onjalalaina	Guy E.	OGE	NA
OJI	Otero Jañez, José Idilio	Otero Jañez	José Idilio	OJI	NA
OKAR	RAKOTONIAINA, *	RAKOTONIAINA	NA	OKAR	NA
OKTA	OKTAN	OKTAN	NA	OKTA	NA
OM	Maurin, Olivier	Maurin	Olivier	OM	NA
OMT	Ordonez, M. T.	Ordonez	M. T.	OMT	NA
ON	Ortega, *	Ortega	NA	ON	NA
OP	Poncy, Odile	Poncy	Odile	OP	NA
OPA	Opler, Paul Alexander	Opler	Paul Alexander	OPA	NA
OR	Oliveira, Rosa	Oliveira	Rosa	OR	NA
ORA	Oldeman, Roelof Arend Albert	Oldeman	Roelof Arend Albert	ORA	NA
ORT	Ortíz, Rolando Tún	Ortíz	Rolando Tún	ORT	NA
P	Basurto, Pablo	Basurto	Pablo	P	NA
PA	Pervillé, Auguste	Pervillé	Auguste	PA	NA
PAA	Pulle, August Adriaan	Pulle	August Adriaan	PAA	NA
PAC	Persaud, A. C.	Persaud	A. C.	PAC	NA
PAG	Peter, Gustav Albert	Peter	Gustav Albert	PAG	NA
PAL	Peixoto, Ariane Luna	Peixoto	Ariane Luna	PAL	NA
PAS	Poma Chura, Abraham Salomon	Poma Chura	Abraham Salomon	PAS	NA
PB	Peguero, Brígido	Peguero	Brígido	PB	NA
PBA	Pereira, B. A. S.	Pereira	B. A. S.	PBA	NA
PBE	Pettersson, Börge Erik	Pettersson	Börge Erik	PBE	NA
PBP	Phillipson, Peter B.	Phillipson	Peter B.	PBP	NA
PC	Campenon, Pierre	Campenon	Pierre	PC	NA
PCG	Pringle, Cyrus Guernsey	Pringle	Cyrus Guernsey	PCG	NA
PCK	Purpus, Carl (Karl) Albert	Purpus	Carl (Karl) Albert	PCK	NA
PCL	Pollard, Charles Louis	Pollard	Charles Louis	PCL	NA
PD	Price, D.	Price	D.	PD	NA
PDA	Pires da Silveira, A. L.	Pires da Silveira	A. L.	PDA	NA
PDB	Pickel, D. Bento	Pickel	D. Bento	PDB	NA
PDE	Puleston, Dennis E.	Puleston	Dennis E.	PDE	NA
PE	Palmer, Edward	Palmer	Edward	PE	NA
PERA	Perry, Alan	Perry	Alan	PERA	NA
PERE	Pereira, *	Pereira	NA	PERE	NA
PERJ	Perea, Juan	Perea	Juan	PERJ	NA
PERM	Pérez, M.	Pérez	M.	PERM	NA
PERR	Pérez, R.	Pérez	R.	PERR	NA
PG	Paz y Miño C., Guillermo	Paz y Miño C.	Guillermo	PG	NA
PGA	Parada-Gutierrez, Germaine Alexander	Parada-Gutierrez	Germaine Alexander	PGA	NA
PGI	Prance, Ghillean (Iain) Tolmie	Prance	Ghillean (Iain) Tolmie	PGI	NA
PGM	Plunkett, Gregory Michael	Plunkett	Gregory Michael	PGM	NA
PGR	Proctor, *	Proctor	NA	PGR	NA
PGR	Proctor, George Richardson	Proctor	George Richardson	PGR	NA
PHE	Pittier, Henri (Enrique, Henry) François	Pittier	Henri (Enrique	PHE	NA
PI	Parmentier, Ingrid	Parmentier	Ingrid	PI	NA
PICC	Pichon, C.	Pichon	C.	PICC	NA
PINA	PINATE, *	PINATE	NA	PINA	NA
PJ	Rakotomalaza, Pierre Jules	Rakotomalaza	Pierre Jules "Coca"	PJ	NA
PJ	Rakotomalaza, Pierre Jules "Coca"	Rakotomalaza	Pierre Jules "Coca"	PJ	NA
PJB	Pohl, Johann Baptist Emanuel	Pohl	Johann Baptist Emanuel	PJB	NA
PJF	Pruski, John Francis	Pruski	John Francis	PJF	NA
PJJ	Pipoly, John James,  III	Pipoly	John James	PJJ	NA
PJM	Poole, Jackie M.	Poole	Jackie M.	PJM	NA
PJR	Pirani, José Rubens	Pirani	José Rubens	PJR	NA
PK	Khant, Po	Khant	Po	PK	NA
PL	Pérez de Molas, Lidia	Pérez de Molas	Lidia	PL	NA
PLJ	Poveda Álvarez, Luis Jorge	Poveda Álvarez	Luis Jorge	PLJ	NA
PM	Morat, Philippe	Morat	Philippe	PM	NA
PME	Pérez, Mervin E.	Pérez	Mervin E.	PME	NA
PMR	Pace, Marcelo Rodrigo	Pace	Marcelo Rodrigo	PMR	NA
PN	Paredes, *	Paredes	NA	PN	NA
PNC	Pitman, Nigel C. A.	Pitman	Nigel C. A.	PNC	NA
PNY	Paniagua Zambrana, Narel Yaroslava	Paniagua Zambrana	Narel Yaroslava	PNY	NA
PO	Pascal, O.	Pascal	O.	PO	NA
POL	Phillips, Oliver L.	Phillips	Oliver L.	POL	NA
POUS	Poulain, Simon	Poulain	Simon	POUS	NA
PP	Poilecot, Pierre	Poilecot	Pierre	PP	NA
PPL	Lowry, Pete	Lowry	Porter Prescott II	PPL	NA
PPL	Lowry, Porter Prescott	Lowry	Porter Prescott II	PPL	NA
PPL	Lowry, Porter Prescott II	Lowry	Porter Prescott II	PPL	NA
PPL	Lowry, Porter Prescott,  II	Lowry	Porter Prescott II	PPL	NA
PPM	Peterson, Paul M.	Peterson	Paul M.	PPM	NA
PR	Ranirison, Patrick	Ranirison	Patrick	PR	NA
PRIA	Prieto, Adriana	Prieto	Adriana	PRIA	NA
PRM	Polhill, Roger Marcus	Polhill	Roger Marcus	PRM	NA
PROJ	Procter, John	Procter	John	PROJ	NA
PS	Pap, S.	Pap	S.	PS	NA
PTC	Plowman, Timothy Charles	Plowman	Timothy Charles	PTC	NA
PTM	Pedersen, Troels Myndel	Pedersen	Troels Myndel	PTM	NA
PUY	Du Puy, David J.	Du Puy	David Jean	PUY	NA
PUY	Du Puy, David Jean	Du Puy	David Jean	PUY	NA
PWA	Palacios Cuenca, Walter Armando	Palacios Cuenca	Walter Armando	PWA	NA
QFA	Quesada Quesada, Freddy Antonio	Quesada Quesada	Freddy Antonio	QFA	NA
QFJ	Quesada Quesada, Francisco Javier	Quesada Quesada	Francisco Javier	QFJ	NA
QHJ	Quero Rico, Hermilo Jorge Ramón	Quero Rico	Hermilo Jorge Ramón	QHJ	NA
QJB	Quezada Bonilla, José Benito	Quezada Bonilla	José Benito	QJB	NA
QJM	Quisbert Quispe, Javier Martín	Quisbert Quispe	Javier Martín	QJM	NA
QLM	Quiñones, Luz Mila	Quiñones	Luz Mila	QLM	NA
QRC	Quevedo Sopepí, Roberto Carlos	Quevedo Sopepí	Roberto Carlos	QRC	NA
R	RABEVOHITRA	Rabevohitra	Raymond	R	NA
R	RABEVOHITRA, *	Rabevohitra	Raymond	R	NA
R	Rabevohitra, Raymond	Rabevohitra	Raymond	R	NA
RA	Randrianasolo, Armand	Randrianasolo	Armand	RA	"RA" in MBG database, but conflict with "AR"=Annick Razafintsalama
RAB	Rabearivony, Dimbilala Aina	Rabearivony	Dimbilala Aina Nomenjanahary	RAB	NA
RAB	Rabearivony, Dimbilala Aina Nomenjanahary	Rabearivony	Dimbilala Aina Nomenjanahary	RAB	NA
RAD	Rabehevitra, David	Rabehevitra	David	RAD	NA
RAF	Rakotoarisoa, Fenonirina	Rakotoarisoa	Fenonirina	RAF	NA
RAG	Rakotonirina, Arsène Giovanni	Rakotonirina	Arsène Giovanni	RAG	NA
RAHJ	Rahantamalala, Josette	Rahantamalala	Josette	RAHJ	NA
RAJ	Randriatahina, James	Randriatahina	James	RAJ	NA
RAL	Ravelomalala, Lucia	Ravelomalala	Lucia Stefanie	RAL	NA
RAL	Ravelomalala, Lucia S.	Ravelomalala	Lucia Stefanie	RAL	NA
RAL	Ravelomalala, Lucia Stefanie	Ravelomalala	Lucia Stefanie	RAL	NA
RAM	Razafimalala, Andrée Anne Marie	Razafimalala	Andrée Anne Marie	RAM	NA
RAMB	Rambo, Balduino	Rambo	Balduino	RAMB	NA
RAMH	Ramamonjisoa, H.	Ramamonjisoa	H.	RAMH	NA
RAML	Ramon, Laurence	Ramon	Laurence	RAML	NA
RAN	Rosa, Nelson A.	Rosa	Nelson A.	RAN	NA
RANA	RANAIVOJAONA, *	RANAIVOJAONA	NA	RANA	NA
RANF	Randriatafika, Faly	Randriatafika	Faly	RANF	NA
RANT	Randriamboavonjy, Tianjanahary	Randriamboavonjy	Tianjanahary	RANT	NA
RAR	Rakotozafy, Armand	Rakotozafy	Armand	RAR	NA
RAS	Robertson (Chambers), Sylvia Ann	Robertson (Chambers)	Sylvia Ann	RAS	NA
RATG	Ratovonirina, Gaetan	Ratovonirina	Gaetan	RATG	NA
RAV	Ravaoherinavalona, Rota	Ravaoherinavalona	Rota	RAV	NA
RB	Ramamonjiarisoa, Bakolimalala	Ramamonjiarisoa	Bakolimalala	RB	NA
RBB	Randriamampionona, Bébéronn	Randriamampionona	Bébéronn	RBB	NA
RBC	Razafindrazaka, Barthelemi	Razafindrazaka	Barthelemi	RBC	NA
RBE	Bernard, Roger	Bernard	Roger	RBE	NA
RBM	Ralaijaona, Benjamina	Ralaijaona	Benjamina	RBM	NA
RBO	Rakotonindriana, Bruno	Rakotonindriana	Bruno	RBO	NA
RBR	Ramandimbisoa, Brigitte	Ramandimbisoa	Brigitte	RBR	NA
RBV	Rabelo, Benedito V.	Rabelo	Benedito V.	RBV	NA
RC	Richard, (Jean Michel) Claude	Richard	Jean Michel Claude	RC	NA
RC	Richard, Jean Michel Claude	Richard	Jean Michel Claude	RC	NA
RCA	Reynel Rodríguez, Carlos Augusto	Reynel Rodríguez	Carlos Augusto	RCA	NA
RCC	Raunkiaer, Christen Christiansen	Raunkiaer	Christen Christiansen	RCC	NA
RCE	Ridsdale, Colin Ernest	Ridsdale	Colin Ernest	RCE	NA
RCH	Randimbiarison, C. H.	Randimbiarison	C. H.	RCH	NA
RCJ	Revilla Cardenas, Juan	Revilla Cardenas	Juan	RCJ	NA
RCN	Rado Claudio, Nandrasana	Rado Claudio	Nandrasana	RCN	NA
RCP	Ramírez C., P.	Ramírez C.	P.	RCP	NA
RCR	Ramírez Catauga, Ramón	Ramírez Catauga	Ramón	RCR	NA
RCS	Randrianarivelo, Clairemont	Randrianarivelo	Clairemont	RCS	NA
RCT	Rizzini, Carlos Toledo	Rizzini	Carlos Toledo	RCT	NA
RD	Ravelonarivo, Désiré	Ravelonarivo	Désiré	RD	NA
RDD	Rodríguez Delcid, Dagoberto	Rodríguez Delcid	Dagoberto	RDD	NA
RDG	Randriamahazomanana, Daniel George	Randriamahazomanana	Daniel George	RDG	NA
RDN	Ravelomanantsoa, D.	Ravelomanantsoa	D.	RDN	NA
RDN	Ravelomanantsoa, Daniel	Ravelomanantsoa	Daniel	RDN	NA
RE	Rentería Arriaga, Enrique	Rentería Arriaga	Enrique	RE	NA
RED	Ramisy, Edmond	Ramisy	Edmond	RED	NA
REH	Razanatsoa, Hélène	Razanatsoa	Hélène	REH	NA
RER	Raharijaona, Era Riana	Raharijaona	Era Riana	RER	NA
REYA	Reyes-García, Alberto	Reyes-García	Alberto	REYA	NA
RF	Rasoavimbahoaka, Fanjanavalona	Rasoavimbahoaka	Fanjanavalona	RF	NA
RFA	Ratovoson, Fidisoa	Ratovoson	Fidisoa "Fidy"	RFA	NA
RFA	Ratovoson, Fidisoa "Fidy"	Ratovoson	Fidisoa "Fidy"	RFA	NA
RFF	Rasoavimbahoaka, Fanjanavalona "Fanja"	Rasoavimbahoaka	Fanjanavalona "Fanja"	RFF	NA
RFJ	Roldán, Francisco Javier	Roldán	Francisco Javier	RFJ	NA
RFM	Randriatsivery, Floria Monique	Randriatsivery	Monique Fleuria	RFM	NA
RFM	Randriatsivery, Monique Fleuria	Randriatsivery	Monique Fleuria	RFM	NA
RFN	Ramanitrinizaka, Fanilo Malala	Ramanitrinizaka	Fanilo	RFN	NA
RFN	Ramanitrinizaka, Fanilo	Ramanitrinizaka	Fanilo	RFN	NA
RFY	Razafindrakoto, Fanjambola Yolande	Razafindrakoto	Fanjambola Yolande	RFY	NA
RFY	Razafindrakoto, Yolanda Fanjambola	Razafindrakoto	Yolanda Fanjambola	RFY	NA
RG	Geesink, Robert	Geesink	Robert	RG	NA
RGA	Rodríguez González, Alexánder Francisco	Rodríguez González	Alexánder Francisco	RGA	NA
RGM	RAHAJASOA, *	Rahajasoa	Grâce Monique	RGM	NA
RGM	Rahajasoa, Grace Monique	Rahajasoa	Grâce Monique	RGM	NA
RGM	Rahajasoa, Grâce Monique	Rahajasoa	Grâce Monique	RGM	NA
RGR	Rojas Gonzáles, Rocío del Pilar	Rojas Gonzáles	Rocío del Pilar	RGR	NA
RHZ	Razafimandimby, H.	Razafimandimby	H.	RHZ	NA
RHA	Rasolohery, Andriambolantsoa	Rasolohery	Andriambolantsoa	RHA	NA
RHF	Razafimelison, Herivola Fenitriniela	Razafimelison	Herivola Fenitriniela	RHF	NA
RHH	Rusby, Henry Hurd	Rusby	Henry Hurd	RHH	NA
RHJ	Rasoazanany, Haingo Marie Judith	Rasoazanany	Haingo Marie Judith	RHJ	NA
RHM	Ramanambohitra, Herinambinina Navalona	Ramanambohitra	Herinambinina Navalona	RHM	NA
RHM	Ramanambohitra, Navalona Herinambinina	Ramanambohitra	Herinambinina Navalona	RHM	NA
RHN	Ravololonanahary, Hantanirina	Ravololonanahary	Hantanirina	RHN	NA
RHS	Ratsaralaza, Herisitraka	Ratsaralaza	Herisitraka	RHS	NA
RHT	Rasatatsihoarana, Thierry	Rasatatsihoarana	Thierry H.F.	RHT	NA
RHT	Rasatatsihoarana, Thierry H.F.	Rasatatsihoarana	Thierry H.F.	RHT	NA
RHV	Razafindraibe, Hanta	Razafindraibe	Hanta	RHV	NA
RIEL	Riedel, Ludwig	Riedel	Ludwig	RIEL	NA
RIR	Randrianaivo, Richard	Randrianaivo	Richard	RIR	NA
RIVR	Rivero, Raúl	Rivero	Raúl	RIVR	NA
RJ	Roilahy, Justin	Roilahy	Justin	RJ	NA
RJA	Ramahenina, Joharintsoa Aina	Ramahenina	Joharintsoa Aina	RJA	NA
RJB	Razafindrabe, Jean-Baptiste	Razafindrabe	Jean-Baptiste	RJB	NA
RJH	Ramahefarison, Jacquis Harimbolasoa	Ramahefarison	Jacquis Harimbolasoa	RJH	NA
RJL	Randriamanarivo, Juliette	Randriamanarivo	Juliette	RJL	NA
RJO	RABENANTOANDRO, *	Rabenantoandro	Johny	RJO	NA
RJO	Rabenantoandro, Johny	Rabenantoandro	Johny	RJO	NA
RJQ	Razanatsoa, Jacqueline	Razanatsoa	Jacqueline	RJQ	NA
RJS	Rajaonary, Stanislas	Rajaonary	Stanislas	RJS	NA
RJU	Rabe, Justin	Rabe	Justin	RJU	NA
RJV	Roberson, Jean Victor	Roberson	Jean Victor	RJV	NA
RK	Redden, Karen M.	Redden	Karen M.	RK	NA
RKM	Rabekoloina, Manohisoa	Rabekoloina	Manohisoa	RKM	NA
RKN	Rakotoarivelo, Nivo H.	Rakotoarivelo	Nivo Hariniaina	RKN	NA
RKN	Rakotoarivelo, Nivo Hariniaina	Rakotoarivelo	Nivo Hariniaina	RKN	NA
RKR	Robertson, Kenneth R.	Robertson	Kenneth R.	RKR	NA
RL	Rakotomalala, Liva	Rakotomalala	Liva	RL	NA
RLA	Rudas Lleras, Agustin	Rudas Lleras	Agustin	RLA	NA
RLC	Raholivelo, Liliane Christine	Raholivelo	Liliane Christine	RLC	NA
RLG	Rakotondranony, L. G.	Rakotondranony	L. G.	RLG	NA
RLI	Ralimanana, Hélène	Ralimanana	Hélène	RLI	NA
RLL	Rakotondrafara, Andriamalala	Rakotondrafara	Andriamalala	RLL	NA
RLM	Randrianjanaka, Lucien Marson	Randrianjanaka	Lucien Marson	RLM	NA
RLP	Rasoamanana, Lalaina P.	Rasoamanana	Lalaina Patricia	RLP	NA
RLP	Rasoamanana, Lalaina Patricia	Rasoamanana	Lalaina Patricia	RLP	NA
RM	Harley, Raymond Mervyn	Harley	Raymond Mervyn	RM	NA
RMA	Renderos, Miguel A.	Renderos	Miguel A.	RMA	NA
RMD	Reyes Enríquez, María de los Ángeles	Reyes Enríquez	María de los Ángeles	RMD	NA
RMF	Ramanakoto, Miora Falimiarana	Ramanakoto	Miora Falimiarana	RMF	NA
RMF	Ramanakoto, Miora M.	Ramanakoto	Miora Falimiarana	RMF	same as Miora Falimiarana?
RMH	Rasoafaranaivo, Margianne H.	Rasoafaranaivo	Margianne Hariline	RMH	NA
RMH	Rasoafaranaivo, Margianne Hariline	Rasoafaranaivo	Margianne Hariline	RMH	NA
RMJ	Reitsma, J. M.	Reitsma	J. M.	RMJ	NA
RML	Rabarivola, Linah M.	Rabarivola	Linah M.	RML	NA
RMN	Razafindraibe, Mendrika Nambinintsoa	Razafindraibe	Mendrika Nambinintsoa	RMN	NA
RMN	Razafindraibe, Nambinintsoa Mendrika	Razafindraibe	Nambinintsoa Mendrika	RMN	NA
RMO	Randrianjanahary, Miramasoandro Onitiana	Randrianjanahary	Miramasoandro Onitiana	RMO	NA
RMS	Rasoanindriana, Harisandy Mahenintsoa	Rasoanindriana	Mahenintsoa Harisandy	RMS	NA
RMS	Rasoanindriana, Mahenintsoa Harisandy	Rasoanindriana	Mahenintsoa Harisandy	RMS	NA
RN	RESERVE NATURELLE, *	Réserves Naturelles Madagascar	Réserves Naturelles Madagascar	RN	NA
RN	Reserves Naturelles [collection series]	Réserves Naturelles Madagascar	Réserves Naturelles Madagascar	RN	NA
RN	Réserves Naturelles Madagascar	Réserves Naturelles Madagascar	Réserves Naturelles Madagascar	RN	NA
RN	RESERVES NATURELLES, *	Réserves Naturelles Madagascar	Réserves Naturelles Madagascar	RN	NA
RNA	Razafimamonjy, Nivo ALisoa	Razafimamonjy	Nivo Alisoa	RNA	NA
RNA	Razafimamonjy, Nivo Alisoa	Razafimamonjy	Nivo Alisoa	RNA	NA
RNF	Rakotonasolo, Franck	Rakotonasolo	Franck	RNF	NA
RNH	Rakotonirina, Nivohenintsoa	Rakotonirina	Nivohenintsoa	RNH	NA
RNJ	Rafanomezantsoa, Norlin Jean Odoris	Rafanomezantsoa	Norlin Jean Odoris	RNJ	NA
RNP	Ritter, Nur P.	Ritter	Nur P.	RNP	NA
