Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment
CLJ	Cerén Lopez, José Gabriel	Cerén Lopez	José Gabriel	CLJ	NA
CM	Castro, Margarita	Castro	Margarita	CM	NA
CMA	Coelho, Marcus Alberto Nadruz	Coelho	Marcus Alberto Nadruz	CMA	NA
CMD	Correa A., Mireya D.	Correa A.	Mireya D.	CMD	NA
CMF	Carvalho, Manuel Fidalgo de	Carvalho	Manuel Fidalgo de	CMF	NA
CMM	Cornejo Mejia, Maritza	Cornejo Mejia	Maritza	CMM	NA
CMR	Cheek, Martin Roy	Cheek	Martin Roy	CMR	NA
CNK	Chun, N. K.	Chun	N. K.	CNK	NA
CO	Castillo, O.	Castillo	O.	CO	NA
COEL	Coelho, L.	Coelho	L.	COEL	NA
COLG	Colonnello, Giuseppe	Colonnello	Giuseppe	COLG	NA
COMR	Combs, Robert	Combs	Robert	COMR	NA
CP	Commerson, Philibert	Commerson	Philibert	CP	NA
CPA	Cogollo Pacheco, Álvaro	Cogollo Pacheco	Álvaro	CPA	NA
CPR	Callejas Posada, Ricardo	Callejas Posada	Ricardo	CPR	NA
CR	Rakotovao, Charles	Rakotovao	Charles	CR	NA
CRA	Carballo, Rubén Alonso	Carballo	Rubén Alonso	CRA	NA
CRP	Capuron, René Paul Raymond	Capuron	René Paul Raymond	CRP	NA
CRU	Chavarría García, Ramón Ulises Gerardo	Chavarría García	Ramón Ulises Gerardo	CRU	NA
CS	Calderón, Salvador	Calderón	Salvador	CS	NA
CSJ	Calónico Soto, Jorge	Calónico Soto	Jorge	CSJ	NA
CTB	Croat, Thomas Bernard	Croat	Thomas Bernard	CTB	NA
CTG	Cornejo Tenorio, Guadalupe	Cornejo Tenorio	Guadalupe	CTG	NA
CTN	Castro T., Nayda	Castro T.	Nayda	CTN	NA
CTR	Cedillo Trigos, Refugio	Cedillo Trigos	Refugio	CTR	NA
CVC	Chan V., C.	Chan V.	C.	CVC	NA
CVV	Can, Vu Van	Can	Vu Van	CVV	NA
CWH	Cabrera Condarco, Willy Héctor	Cabrera Condarco	Willy Héctor	CWH	NA
CXF	Cornejo Sotomayor, Xavier Francisco	Cornejo Sotomayor	Xavier Francisco	CXF	NA
DA	Dik, Alberto	Dik	Alberto	DA	NA
DAL	Díaz Z., Ana L.	Díaz Z.	Ana L.	DAL	NA
DAP	Davis, Aaron Paul	Davis	Aaron Paul	DAP	NA
DAVG	Davidse, Gerrit	Davidse	Gerrit	DAVG	NA
DAW	Ducke, Walter Adolpho	Ducke	Walter Adolpho	DAW	NA
DB	Baum, David	Baum	David Alastair	DB	NA
DB	Baum, David Alastair	Baum	David Alastair	DB	NA
DBM	Descoings, Bernard M.	Descoings	Bernard Marie	DBM	NA
DBM	Descoings, Bernard Marie	Descoings	Bernard Marie	DBM	NA
DBP	De Block, Petra	De Block	Petra	DBP	NA
DC	Davidson, Christopher	Davidson	Christopher	DC	NA
DCG	Dahlberg, Carl Gustav	Dahlberg	Carl Gustav	DCG	NA
DCH	Dodson, Calaway Homer	Dodson	Calaway Homer	DCH	NA
DCW	Dodge, Carroll William	Dodge	Carroll William	DCW	NA
DD	De la Quintana, Diego	De la Quintana	Diego	DD	NA
DDC	Daly, Douglas	Daly	Douglas Charles de Burgh	DDC	NA
DDC	Daly, Douglas Charles de Burgh	Daly	Douglas Charles de Burgh	DDC	NA
DDR	Duno de Stefano, Rodrigo	Duno de Stefano	Rodrigo	DDR	NA
DEGR	Degen, Rosa	Degen	Rosa	DEGR	NA
DELC	Delnatte, Cesar	Delnatte	Cesar	DELC	NA
DENE	de Néré	de Néré	NA	DENE	NA
DEP	Duchassaing de Fontbressin, Édouard Placide	Duchassaing de Fontbressin	Édouard Placide	DEP	NA
DESS	Dessein, Steven	Dessein	Steven	DESS	NA
DF	Delascio Chitty, Francisco	Delascio Chitty	Francisco	DF	NA
DG	Dauby, Gilles	Dauby	Gilles	DG	NA
DGR	Durán García, Rafael	Durán García	Rafael	DGR	NA
DIAZ	Diaz, *	Diaz	NA	DIAZ	NA
DIEL	Dieckman, Leonard	Dieckman	Leonard	DIEL	NA
DINA	Dinard, André	Dinard	André	DINA	NA
DIOF	Dionizia, F.	Dionizia	F.	DIOF	NA
DJ	Déquaire, Jean-Maurice	Déquaire	Jean-Maurice	DJ	NA
DJA	Duke, James Alan	Duke	James Alan	DJA	NA
DJD	Dwyer, John Duncan	Dwyer	John Duncan	DJD	NA
DJF	Drège, Jean François (Johann Franz)	Drège	Jean François (Johann Franz)	DJF	NA
DJJ	de Wilde, Jan Jacobus Friedrich Egmond	de Wilde	Jan Jacobus Friedrich Egmond	DJJ	NA
DJS	de la Cruz, J. S.	de la Cruz	J. S.	DJS	NA
DKH	Harder, Daniel Kenneth	Harder	Daniel Kenneth	DKH	NA
DL	Delgado, Luz	Delgado	Luz	DL	NA
