ID_Lab	Genus	Species	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Species_ESSA
RBE2241	Diospyros	calophylla	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2242	Diospyros	stenocarpa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2243	Diospyros	sphaerosepala	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2244	Diospyros	mangabensis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2245	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2246	Diospyros	acutiflora	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2247	Dalbergia	maritima_pubescens	Maritima	M9	Atlas	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2248	Diospyros	brevipedicellata	NA	NA	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2249	Dalbergia	madagascariensis_antongilensis	Baronii	H2	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2250	Dalbergia	chapelieri	Chapelieri	M9, N7	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2251	Diospyros	rubripetiolata	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2252	Diospyros	sp.a	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2253	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2254	Dalbergia	baronii	Baronii	H1	Ravo	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2255	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2256	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2257	Dalbergia	baronii	Baronii	M9, H3	Ravo	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2258	Dalbergia	bathiei	Baronii	M7, N8	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2259	Dalbergia	madagascariensis_antongilensis	Baronii	M9	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2260	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2261	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2262	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2263	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2264	Diospyros	calophylla	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2265	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2266	Dalbergia	chapelieri	Chapelieri	H3	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2267	Diospyros	mangabensis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2268	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2269	Diospyros	toxicaria	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2270	Dalbergia	madagascariensis_antongilensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2271	Dalbergia	aff._chapelieri_Manombo	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2272	Dalbergia	aff._chapelieri_Manombo	Chapelieri	N9	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2273	Dalbergia	aff._chapelieri_Manombo	Chapelieri	N9	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2274	Dalbergia	baronii	Baronii	H1prob, H3	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2275	Dalbergia	aff._chapelieri_S	Chapelieri	N9	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2276	Dalbergia	aff._chapelieri_S	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2277	Dalbergia	aff._chapelieri_coriaceous_large	Chapelieri	N8	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2278	Diospyros	velutipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2279	Dalbergia	monticola	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2280	Dalbergia	monticola	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2281	Dalbergia	monticola	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2282	Dalbergia	monticola	Monticola	H2	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2283	Dalbergia	aff._chapelieri_S	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2284	Dalbergia	monticolaXorientalis	Monticola	H4	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2285	Dalbergia	monticola	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	1	1	NA	NA	NA	NA	NA
RBE2446	Dalbergia	hirticalyx	Mollis	M6	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	1	1	NA	NA	NA	NA	NA
RBE2447	Dalbergia	hirticalyx	Mollis	M7, N7	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	0	0	NA	NA	NA	NA	NA
RBE2448	Dalbergia	hirticalyx	Mollis	M6	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	0	0	NA	NA	NA	NA	NA
RBE2449	Dalbergia	hirticalyx	Mollis	H1, N7	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	0	0	NA	NA	NA	NA	NA
RBE2450	Diospyros	cupulifera	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	1	1	NA	NA	NA	NA	NA
RBE2451	Dalbergia	cf._purpurascens	Greveana	M6	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	1	1	NA	NA	NA	NA	NA
RBE2452	Dalbergia	cf._purpurascens	Greveana	H1	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	0	0	NA	NA	NA	NA	NA
RBE2453	Tamarindus	indica	NA	H4	NA	0	0	NA	NA	NA	NA	D1prob	1	1	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2454	Dalbergia	decaryi	Greveana	H1	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2455	Dalbergia	madagascariensis_antongilensis	Baronii	H1	NA	0	0	NA	NA	NA	NA	D1	1	1	NA	1	0	1	NA	NA	NA	NA	NA
RBE2456	Xanthocercis	madagascariensis	NA	H1	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	1	0	1	NA	NA	NA	NA	NA
RBE2457	Hymenaea	verrucosa	NA	H2, H3	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	0	1	1	NA	NA	NA	NA	NA
RBE2458	Intsia	bijuga	NA	H2prob, H3	NA	0	0	NA	NA	NA	NA	D1prob, D2	1	0	NA	1	0.5	1	NA	NA	NA	NA	NA
RBE2459	Diospyros	toxicaria	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	0	0.5	1	NA	NA	NA	NA	NA
RBE2460	Diospyros	antongilensis	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	1	1	NA	NA	NA	NA	NA
RBE2461	Diospyros	fuscovelutina	NA	NA	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2462	Diospyros	toxicaria	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2463	Diospyros	occlusa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	1	1	NA	NA	NA	NA	NA
RBE2464	Diospyros	antongilensis	NA	NA	NA	0	0	NA	NA	NA	NA	D1	1	1	NA	1	2	1	NA	NA	NA	NA	NA
RBE2465	Dalbergia	baronii	Baronii	H1	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2466	Dalbergia	baronii	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2467	Dalbergia	baronii	Baronii	H4	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2468	Dalbergia	hassoldii	Maritima	H1, N7	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2469	Dalbergia	baronii	Baronii	H1	Ravo	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2470	Dalbergia	madagascariensis_antongilensis	Baronii	H2	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2471	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2472	Dalbergia	normandii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2473	Dalbergia	normandii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2474	Dalbergia	normandii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2475	Dalbergia	racemosa	Maritima	H1	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2476	Diospyros	ferrea	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2477	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2478	Dalbergia	madagascariensis_antongilensis	Baronii	H3	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2479	Dalbergia	madagascariensis_antongilensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2479-1	Dalbergia	orientalis	Monticola	H2	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0.5	1	NA	NA	NA	NA	NA
RBE2480	Diospyros	toxicaria	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	0	NA	0	NA	NA	NA	NA	NA
RBE2481	Diospyros	mangabensis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0.5	1	NA	NA	NA	NA	NA
RBE2482	Diospyros	maculata	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	1	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2483	Dalbergia	orientalis	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2484	Dalbergia	normandii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2485	Dalbergia	madagascariensis_antongilensis	Baronii	H2	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2486	Dalbergia	normandii	Maritima	H3	Ravo	0	0	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2487	Calophyllum	inophyllum	NA	NA	NA	0	0	NA	NA	NA	NA	D1	1	0	NA	0	0	0	NA	NA	NA	NA	NA
RBE2488	Tamarindus	indica	NA	H2, H3	NA	0	0	NA	NA	NA	NA	NA	0	1	NA	1	0.5	1	NA	NA	NA	NA	NA
RBE2538	Dalbergia	aff._louvelii_Mananara	Maritima	H5	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2539	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2540	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2541	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2542	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2543	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	0	NA	0	NA	NA	NA	NA	NA
RBE2544	Dalbergia	orientalis	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2545	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2546	Dalbergia	madagascariensis_antongilensis	Baronii	NA	Dochard	0	0	NA	NA	NA	NA	NA	0	1	NA	1	1	1	NA	NA	NA	NA	NA
RBE2547	Dalbergia	madagascariensis_antongilensis	Baronii	N8	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	0	NA	0	NA	NA	NA	NA	NA
RBE2548	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	NA	0	0	NA	1	0	1	NA	NA	NA	NA	NA
RBE2549	Dalbergia	aff._louvelii_Mananara	Maritima	NA	NA	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2550	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2551	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2552	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2553	Dalbergia	aff._louvelii_Mananara	Maritima	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2554	Dalbergia	orientalis	Monticola	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2555	Dalbergia	orientalis	Monticola	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2556	Dalbergia	orientalis	Monticola	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2557	Dalbergia	orientalis	Monticola	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2558	Dalbergia	madagascariensis_antongilensis	Baronii	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	1	NA	1	1	1	NA	NA	NA	NA	NA
RBE2559	Dalbergia	chapelieri	Chapelieri	H5	NA	0	0	NA	NA	NA	NA	D2	0	0	NA	0	1	1	NA	NA	NA	NA	NA
RBE2560	Dalbergia	madagascariensis_antongilensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	D2	0	0	NA	0	1	1	NA	NA	NA	NA	NA
RBE2561	Dalbergia	madagascariensis_antongilensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2562	Dalbergia	madagascariensis_antongilensis	Baronii	NA	Dochard	0	0	NA	NA	NA	NA	D2	0	0	NA	1	1	1	NA	NA	NA	NA	NA
RBE2563	Dalbergia	orientalis	Monticola	NA	Dochard	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2573	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2574	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2575	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2576	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2577	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2578	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
RBE2579	Dalbergia	aff._monticola_NW	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	NA
