ID_Lab	Genus	Species	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017
RFN0050	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	1	1	NA	NA	NA	NA	232	37	386	2120.28659538993	275	179.059474040503	96	256	212	259	201.059474040504	2163.31257678058	280	83	35	796.828144195144	271.828144195144	778.656288390288	462.828144195144	8981.61064864947	6	Madagascar humid forests
RFN0051	Dalbergia	delphinensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	0	0	0	1	1	1	232	37	386	2120.18605494588	275	179.155608510546	96	256	212	259	201.155608510546	2162.17822471069	280	83	35	796.544556177671	271.544556177671	778.089112355343	462.544556177671	8795.5820292381	6	Madagascar humid forests
RFN0052	Dalbergia	delphinensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	232	37	386	2121	275	179	96	256	212	259	201	2165.12750125459	280.375833751529	83	35	797.375833751529	272	779.375833751529	463.310251259417	9351.55863186096	6	Madagascar humid forests
RFN0053	Diospyros	haplostylis	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	232	37	386	2121	275	179	96	256	212	259	201	2165.12750125459	280.375833751529	83	35	797.375833751529	272	779.375833751529	463.310251259417	9351.55863186096	6	Madagascar humid forests
RFN0054	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.10163414373	274	177.361471487198	96	254	210	257	200	2065.99177844616	268.458994854008	80	36	768.536894369072	259.458994854008	751.638528512802	434.357360710277	6432.72933422257	6	Madagascar humid forests
RFN0055	Diospyros	microgracilipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.10163414373	274	177.361471487198	96	254	210	257	200	2065.99177844616	268.458994854008	80	36	768.536894369072	259.458994854008	751.638528512802	434.357360710277	6432.72933422257	6	Madagascar humid forests
RFN0056	Diospyros	microgracilipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.10163414373	274	177.361471487198	96	254	210	257	200	2065.99177844616	268.458994854008	80	36	768.536894369072	259.458994854008	751.638528512802	434.357360710277	6432.72933422257	6	Madagascar humid forests
RFN0057	Dalbergia	razakamalalae	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177	96	254	210	257	200	2067.92106839148	268.921106708934	80	36	769.031807822501	259.921106708934	752.031807822502	434.921106708934	6688.78858981806	6	Madagascar humid forests
RFN0058	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.02318442546	274	177.08119836341	96	254	210	257	200	2067.10415007472	268.656457826226	80	36	768.895617211134	259.656457826226	751.91880163659	434.63327340077	6622.4698586959	6	Madagascar humid forests
RFN0059	Diospyros	microgracilipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.10163414373	274	177.361471487198	96	254	210	257	200	2065.99177844616	268.458994854008	80	36	768.536894369072	259.458994854008	751.638528512802	434.357360710277	6432.72933422257	6	Madagascar humid forests
