Name	DM_SP	Images	Group	ZT_Species	Alternative (old) names	Accepted	Acceptance Notes	Citation	Publication status	Recognised by  B/R = Bosser & Rabe. C/W/P = Crameri/Wilding/Phillipson	Ist Author	MadCat treatment	Growth form	Manuscript	Manuscript status	TYPE	Description revised and updated	Desiderata	General sites for desiderata	MBG site for desiderata	No. of specimens MadCat	Max height (m)	Height Ref.	Max DBH (cm)	DBH Ref.	Description	Key Specimens	Taxonomy Stable	Appeared Red List	Year of Last Conservation Assessment	Last Conservation Assessment	Criteria	Preliminary Assessment (publ. or in prep.)	Status of preliminary assessments	Criteria for assessment	Priority for assessment	Assessor	Input into SIS	Previous assessments on IUCN RL site	Link to IUCN	Madagascar det slip print number
**D. bosseri	DM_SP47	Links	Chlorocarpa	bosseri	aff. lemurica Ampasindava	Yes		D. bosseri ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT paper		SH0711	NA	Flowers				16	KAD0160	25.5	KAD0155	similar to closely related and geographically not-overlapping D. aff. lemurica N but with larger fruits and 25-30 slightly narrower leaflets. 	SH 711	Yes	No				Done April fast [EN]	LT PAPER	Crit. B						
D. maritima subsp. pubescens	DM_SP48	Links	Maritima	maritima_pubescens	maritima subsp. pubescens	Subsp.	D. maritima subsp. pubescens	D. maritima subsp. pubescens (Bosser & R. Rabev.) Crameri, Phillipson & N. Wilding	published	C/W/P	SC		LT	Crameri et al. 2022	in press	SF32824						10	RBE2247	30,28.66	SF18-R-195, G3D student Randremanana Sarrah fround stumps (cuttings thereof are confirmed D. maritima pubescens), largest souche diameter 28.66cm.	Differs from D. maritima subsp. maritima in having indument on leaves, inflorescence axes, and gynoecium, and appears to have a different ecology (dense humid forests vs. littoral forests in D. maritima subsp. maritima). Can be distinguished from similar D. louvelii s.lat. by smaller and more numerous leaflets, and smaller flowers. No apparent overlap in geography between the two subsp. of D. maritima, although D. maritima subsp. maritima and D. louvelii s.str. co-occur in littoral forests of CE Madagascar.	SF 32824														
D. aff. louvelii Rantabe	DM_SP49	Links	Maritima	louvelii	aff._louvelii_Rantabe	No	D. louvelii	D. louvelii R. Vig.	-	C/W/P	SC		LT									17.5	SF9144	50	SF9144	similar to D. louvelii but with smaller and elliptic leaflets, and from 700m altitude	SF 9144														
D. orientalis X soafarae	DM_SP50	Links	Monticola	orientalisXsoafarae	aff._monticolaXorientalis	Hybrid	D. orientalis x soafarae (F1 hybrids)?	putative hybrid D. orientalis Bosser & R. Rabev. x soafarae ined. (S. Crameri, pers. comm.)	-	C/W/P	NW		ST	Hybridization paper								12	RNH1197	10	RNH1197	"reminds of D. orientalis and D. aff. monticola SE (DM_SP09), but leaflets appear intermediate in number, size and shape.
"	SF 17-R-159														
D. hassoldiae X lehavanae	DM_SP51	Links	Maritima	hassoldiaeXlehavanae	aff._louvelii_PAL	Hybrid	D. hassoldiae x lehavanae (F1 hybrids)?	putative hybrid D. hassoldiae ined. x lehavanae ined. (S. Crameri, pers. comm.)	-	C/W/P	SC		ST	Hybridization paper				Flowers		Pointe à Larrée, Analalava (SC)	3	7	RZK8359	9	RZK8359	similar to D. aff. louvelii Mananara but genetically distinct and appears intermediate between DM_SP24 and DM_SP54	RZK8359, ALH 935, ALH 1111														
D. peltieri X trichocarpa	DM_SP52	Links	Peltieri	peltieriXtrichocarpa	aff._peltieri	Hybrid	D. peltieri x trichocarpa (F1 hybrids)?	putative hybrid D. peltieri Bosser & R. Rabev. x trichocarpa Baker (S. Crameri, pers. comm.)	-	C/W/P	PBP		ST	Hybridization paper								4	CR7406	5	CR7406	13-15 leaflets, appressed pubescence on lower side, distinct venation on upper side.	CR7406														
D. aff. humbertii N	DM_SP53	Links	Humbertii	humbertii	aff._humbertii_N	No	Potential subsp. of D. humbertii	D. humbertii R. Vig.	NA	C/W/P	-		LT									30	KAD0411	70	KAD0411	"similar to D. humbertii (type from Ambongo), but differs in ... and from N Madagascar
"	LG 4652														
D. lehavanae	DM_SP54	Links	Maritima	lehavanae	aff._normandii_PAL, lehavanae	Yes		D. lehavanae ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		ST	Maritima paper		ALH1179 ?					11	7	RBE2715	15	CR7644	similar to D. normandii (glabrous leaves, robust racemose inflorescence, large flowers) but with smaller leaflets of a different shape.	ALH0902, 1110, 1144, 1179														
D. aff. pervillei Windsor	DM_SP55	Links	Pervillei	obtusa	aff._pervillei_Windsor	No	D. obtusa	D. obtusa Lecomte	NA	C/W/P	-		ST									7	Randrianasolo 521	12	Randrianasolo 521	Same as DM_SP04	Randrianasolo 521														
D. aff. densicoma glabrous	DM_SP56	Links	Pervillei	densicoma	aff._densicoma_glabrous	No	D. densicoma	D. densicoma Baill.	-	C/W/P	-		ST									5	RIR3541	14	RIR3541	Similar to D. densicoma but completely glabrous	RIR3541														
D. aff. hildebrandtii N	DM_SP57	Links	Peltieri	hildebrandtii	aff._hildebrandtii_N	No	D. hildebrandtii	D. hildebrandtii Vatke	-	C/W/P	PBP		ST									8	Guittou 397	10	Guittou 397	Similar or conspecific with D. hildebrandtii. Venation on leaflets appears thicker.	Harder 1656, Hassold 684														
D. chermezonii	DM_SP58	Links	Bemarivensis	chermezonii		Yes	elevated from synonymy with D. mollis var. menabeensis	D. chermezonii R. Vig.	published	C/W/P	NW		LT	Wilding et al. 2021b		HPB4202	Done				89	20	ALR2748	40	SF71-R-190	See bemarivensis/chermezonii manuscript		Yes	under review	2021	Critically Endangered	A4c		Done	Crit. A		NW	Done	[under MOLLIS] 2019 VU A4acd	https://www.iucnredlist.org/species/38256/69911065	
D. pervillei X tricolor	DM_SP59	Links	Pervillei	pervilleiXtricolor	cf._pervillei	Hybrid	D. pervillei x tricolor (F1 hybrids)?	putative hybrid D. pervillei Vatke x tricolor Drake (S. Crameri, pers. comm.)	-	C/W/P	NW		ST	Hybridization paper								5	SH0740	7.7	SH0740	Intermediate between D. pervillei and D. tricolor var. tricolor. Hybrid?	SH740														
**D. occidentalis	DM_SP60	Links	Greveana	purpurascens	occidentalis,cf. purpurascens	No	D. purpurascens	D. purpurascens Baill.	-	C/W/P	PBP		LT	LT paper			NA	NA		Analavelona (NW)		30	Du Puy M347	88	KAD0259	Similar or conspecific with D. purpurascens, but sister to D. comorensis	Du Puy M487							LT PAPER	Crit. A						
D. tricolor var. breviracemosa	DM_SP61	Links	Tricolor	tricolor_breviracemosa		Subsp.?		D. tricolor subsp. breviracemosa ined. (Bosser & R. Rabev.) Phillipson, Crameri & N. Wilding	-	C/W/P			ST			SF27833						20	RBE2964	20	RBE2964	Differs from D. tricolor var. tricolor in apparently having shorter inflorescences.	SF, Capuron 27833	Yes	No				Yes	Data ready							
D. aff. neoperrieri Melaky	DM_SP62	Links	Greveana	aff._neoperrieri_Melaky		No	D. neoperrieri	D. neoperrieri Bosser & R. Rabev.	-	C/W/P	RNH/PBP		LT									20	SF (Capuron) 6774	50	SF (Capuron) 6774	Similar to D. neoperrieri, but is more closely related to D. decaryi	Villiers 4958, RIR3371, CR7449	No	No												
D. baronii X bojeri	DM_SP63	Links	Baronii	baroniiXbojeri		Hybrid	D. baronii x bojeri (F1 hybrids)?	putative hybrid D. baronii Baker x bojeri Drake (S. Crameri, pers. comm.)	-	C/W/P	SC		ST	Hybridization paper								7	RZK7709	12	RZK7709	Leaves and growth habit (arborescent) similar to D. bathiei	RZK7709														
*D. decaryi	DM_SP64	Links	Greveana	decaryi		Yes	elevated from D. emirnensis var. decaryi	D. decaryi (Bosser & R. Rabev.) Rakoton., Phillipson, Crameri & N. Wilding (Rakotonirina et al., submitted)	submitted	C/W/P	RNH		LT	Emirnensis paper		SF20677	NA	NA				20	ALR2651	40, 85	ALR2651, ?	See emirnensis/decaryi paper	SF 20677	Yes	No					Done							
*D. nemoralis	DM_SP65	Links	Greveana	nemoralis		Yes		D. nemoralis Rakoton., Phillipson & N. Wilding (N. Rakotonirina et al., submitted)	submitted	C/W/P	NHR		LT	Emirnensis paper		RNH1233						17	RBE2454	24	RBE2454	See emirnensis/decaryi paper	RNH1233	Yes	No					Done							
D. scorpioides	DM_SP66	Links	incertae_sedis	scorpioides		Yes	elevated from D. hildebrandtii var. scorpioides	D. scorpioides Baker	published	C/W/P	PBP		ST			Baron 4583						10	CR7433	18.3	RIR3341	Leaves with 9-11 middle-sized leaflets, leaflet base cuneate, apex acute or obtuse and sometimes retuse	Baron 4583														
D. aff. neoperrieri Mania	DM_SP67	Links	incertae_sedis	aff._neoperrieri_Mania		No	D. scorpioides	D. scorpioides Baker	-	C/W/P	PBP		unknown									unknown	HPB12538	unknown	HPB12538	Leaves with 7-9 small leaflets, leaflet under side with dark venation and contrasting pale midrib, fruits large, 1seeded	Perrier 12538														
