Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
RJO	Rabenantoandro	Johny	Rabenantoandro, Johny	
RJQ	Razanatsoa	Jacqueline	Razanatsoa, Jacqueline	
RJS	Rajaonary	Stanislas	Rajaonary, Stanislas	
RJU	Rabe	Justin	Rabe, Justin	
RKM	Rabe	Koloina Manohisoa	Rabe, Koloina Manohisoa	
RKN	Rakotoarivelo	Nivo Hariniaina	Rakotoarivelo, Nivo Hariniaina	
RKN	Rakotoarivelo	Nivo Hariniaina	Rakotoarivelo, Nivo H.	
RL	Rakotomalala	Liva	Rakotomalala, Liva	
RLC	Raholivelo	Liliane Christine	Raholivelo, Liliane Christine	
RLI	Ralimanana	Hélène	Ralimanana, Hélène	
RLL	Rakotondrafara	Andriamalala	Rakotondrafara, Andriamalala	
RLM	Randrianjanaka	Lucien Marson	Randrianjanaka, Lucien Marson	
RLP	Rasoamanana	Lalaina Patricia	Rasoamanana, Lalaina P.	
RLP	Rasoamanana	Lalaina Patricia	Rasoamanana, Lalaina Patricia	
RMF	Ramanakoto	Miora Falimiarana	Ramanakoto, Miora Falimiarana	
RMF	Ramanakoto	Miora Falimiarana	Ramanakoto, Miora M.	same as Miora Falimiarana?
RMH	Rasoafaranaivo	Margianne Hariline	Rasoafaranaivo, Margianne Hariline	
RMN	Razafindraibe	Nambinintsoa Mendrika	Razafindraibe, Nambinintsoa Mendrika	
RMO	Randrianjanahary	Miramasoandro Onitiana	Randrianjanahary, Miramasoandro Onitiana	
RMS	Rasoanindriana	Mahenintsoa Harisandy	Rasoanindriana, Mahenintsoa Harisandy	
RN	Réserves Naturelles de Madagascar	Réserves Naturelles de Madagascar	RESERVES NATURELLES, *	
RN	Réserves Naturelles de Madagascar	Réserves Naturelles de Madagascar	Reserves Naturelles [collection series]	
RNA	Razafimamonjy	Nivo Alisoa	Razafimamonjy, Nivo ALisoa	
RNA	Razafimamonjy	Nivo Alisoa	Razafimamonjy, Nivo Alisoa	
RNF	Rakotonasolo	Franck	Rakotonasolo, Franck	
RNH	Rakotonirina	Nivohenintsoa	Rakotonirina, Nivohenintsoa	
ROC	Randriambololomamonjy	Ornella Christine	Randriambololomamonjy, Ornella Christine	
ROL	Rakotondrajaona	Roland	Rakotondrajaona, Roland	
ROM	Rabarijaona	Narindra Romer	Rabarijaona, Narindra Romer	
RON	Rafanomezantsoa	Odoris Norlin	Rafanomezantsoa, Odoris Norlin	
ROR	Ranaivojaona	Rolland	Ranaivojaona, Rolland	
ROZ	Randimbison	Maherizo	Randimbison, Maherizo	
RPJ	Randria	Paul Joseph	Randria, Paul Joseph	
RR	Rakoto	Raphael	Rakoto, Raphael	
RRA	Rajoharison	Rivo	Rajoharison, Rivo	
RRE	Randriamarosoa	Rémi	Randriamarosoa, Rémi	
RRG	Ramison	Roger Georgensen	Ramison, Roger Georgensen	
RRH	Ramananjanahary	Rondro	Ramananjanahary, Rondro	
RRI	Rajemisa	Richard	Rajemisa, Richard	
RRN	Ramanantsialonina	Ravo Nantenaina	Ramanantsialonina, Ravo Nantenaina	
RS	Rapanarivo	Solo	Rapanarivo, Solo	
RSE	Rakotoarisoa	Solofo Eric	Rakotoarisoa, Eric Solofo	
RSE	Rakotoarisoa	Solofo Eric	Rakotoarisoa, Solofo Eric	
RTF	Raveloson	Tolojanahary Felantsoa	Raveloson, Tolojanahary Felantsoa	
RTH	Rakouth	Hasina Nomentsoa	Rakouth, Hasina Nomentsoa	
RTN	Randriamiharisoa	Tolojanahary Nirina Maria	Randriamiharisoa, Tolojanahary Nirina Maria	
RTN	Tolojanahary	Nirina	Tolojanahary, Nirina	
RTV	Rivoharison	Tahiry Victoria	Rivoharison, Tahiry Victoria	
RVF	Ravelonahina	Harimisa 	Ravelonahina, Harimisa 	
RVM	Rasolofoniaina	Vonimirana Mbolatiana	Rasolofoniaina, Vonimirana Mbolatiana	
RVN	Ravololomanana	Noromalala	Ravololomanana, Noromalala	
RVO	Andrianasolo	Rivoniony	Andrianasolo, Rivoniony	
RVT	Razafindrahaja	Vololotahina	Razafindrahaja, Vololotahina	
RZA	Razanatsima	Aina	Razanatsima, Aina	
RZC	Rakotonirina	Casmir	Rakotonirina, Casmir Zoly	
RZC	Rakotonirina	Casmir	Rakotonirina, Casmir	
RZD	Razafindramora	Dernah	Razafindramora, Dernah	
RZK	Razakamalala	Richardson	Razakamalala, Richardson	
