Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
RHN	Ravololonanahary	Hantanirina	Ravololonanahary, Hantanirina	NA
RHS	Ranarivelo	Heritiana	Ranarivelo, Heritiana	NA
RHS	Ratsaralaza	Herisitraka	Ratsaralaza, Herisitraka	NA
RHT	Rasatatsihoarana	Thierry H.F.	Rasatatsihoarana, Thierry H.F.	NA
RHV	Razafindraibe	Hanta	Razafindraibe, Hanta	NA
RIR	Randrianaivo	Richard	Randrianaivo, Richard	NA
RJ	Randrianasolo	Joma	Randrianasolo, Joma	NA
RJ	Roilahy	Justin	Roilahy, Justin	NA
RJA	Ramahenina	Joharintsoa Aina	Ramahenina, Joharintsoa Aina	NA
RJB	Razafindrabe	Jean-Baptiste	Razafindrabe, Jean-Baptiste	NA
RJH	Ramahefarison	Jacquis Harimbolasoa	Ramahefarison, Jacquis Harimbolasoa	NA
RJL	Randriamanarivo	Juliette	Randriamanarivo, Juliette	NA
RJO	Rabenantoandro	Johny	Rabenantoandro, Johny	NA
RJQ	Razanatsoa	Jacqueline	Razanatsoa, Jacqueline	NA
RJS	Rajaonary	Stanislas	Rajaonary, Stanislas	NA
RJU	Rabe	Justin	Rabe, Justin	NA
RKM	Rabe	Koloina Manohisoa	Rabe, Koloina Manohisoa	NA
RKN	Rakotoarivelo	Nivo Hariniaina	Rakotoarivelo, Nivo Hariniaina	NA
RKN	Rakotoarivelo	Nivo Hariniaina	Rakotoarivelo, Nivo H.	NA
RL	Rakotomalala	Liva	Rakotomalala, Liva	NA
RLC	Raholivelo	Liliane Christine	Raholivelo, Liliane Christine	NA
RLI	Ralimanana	Hélène	Ralimanana, Hélène	NA
RLL	Rakotondrafara	Andriamalala	Rakotondrafara, Andriamalala	NA
RLM	Randrianjanaka	Lucien Marson	Randrianjanaka, Lucien Marson	NA
RLP	Rasoamanana	Lalaina Patricia	Rasoamanana, Lalaina P.	NA
RLP	Rasoamanana	Lalaina Patricia	Rasoamanana, Lalaina Patricia	NA
RMF	Ramanakoto	Miora Falimiarana	Ramanakoto, Miora Falimiarana	NA
RMF	Ramanakoto	Miora Falimiarana	Ramanakoto, Miora M.	same as Miora Falimiarana?
RMH	Rasoafaranaivo	Margianne Hariline	Rasoafaranaivo, Margianne Hariline	NA
RMN	Razafindraibe	Nambinintsoa Mendrika	Razafindraibe, Nambinintsoa Mendrika	NA
RMO	Randrianjanahary	Miramasoandro Onitiana	Randrianjanahary, Miramasoandro Onitiana	NA
RMS	Rasoanindriana	Mahenintsoa Harisandy	Rasoanindriana, Mahenintsoa Harisandy	NA
RN	Réserves Naturelles de Madagascar	Réserves Naturelles de Madagascar	RESERVES NATURELLES, *	NA
RN	Réserves Naturelles de Madagascar	Réserves Naturelles de Madagascar	Reserves Naturelles [collection series]	NA
RNA	Razafimamonjy	Nivo Alisoa	Razafimamonjy, Nivo ALisoa	NA
RNA	Razafimamonjy	Nivo Alisoa	Razafimamonjy, Nivo Alisoa	NA
RNF	Rakotonasolo	Franck	Rakotonasolo, Franck	NA
RNH	Rakotonirina	Nivohenintsoa	Rakotonirina, Nivohenintsoa	NA
ROC	Randriambololomamonjy	Ornella Christine	Randriambololomamonjy, Ornella Christine	NA
ROL	Rakotondrajaona	Roland	Rakotondrajaona, Roland	NA
ROM	Rabarijaona	Narindra Romer	Rabarijaona, Narindra Romer	NA
RON	Rafanomezantsoa	Odoris Norlin	Rafanomezantsoa, Odoris Norlin	NA
ROR	Ranaivojaona	Rolland	Ranaivojaona, Rolland	NA
ROZ	Randimbison	Maherizo	Randimbison, Maherizo	NA
RPJ	Randria	Paul Joseph	Randria, Paul Joseph	NA
