SpecimenID	ID_Lab	Genus	Species	DM_SP	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017	imputed
101169482	ALR2424	Dalbergia	razakamalalae	DM_SP06	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	237	36	379	2125	280	185	95	260	215	263	207	2405	349	70	45	1016	236	951	361	2629	7	Madagascar humid forests	FALSE
101169484	ALR2426	Dalbergia	aff._chapelieri_coriaceous_large	DM_SP39	Chapelieri	N10	NA	0	1	1	0	NA	NA	NA	1	1	NA	NA	0	0	0	1	0	1	236	36	381	2130	280	185	96	260	215	263	206	2385	346	69	45	1008	233	944	357	4922	7	Madagascar humid forests	FALSE
101169488	ALR2430	Dalbergia	aff._chapelieri_coriaceous_large	DM_SP39	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	238	35	372	2111	281	187	94	261	216	264	208	2423	350	72	44	1013	244	942	370	2400	9	Madagascar humid forests	FALSE
101169489	ALR2431	Dalbergia	aff._chapelieri_coriaceous_large	DM_SP39	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	0	1	0	1	238	35	372	2111	281	187	94	261	216	264	208	2423	350	72	44	1013	244	942	370	2400	9	Madagascar humid forests	FALSE
101169490	ALR2432	Dalbergia	aff._chapelieri_Manombo	DM_SP31	Chapelieri	N9	NA	0	1	1	0	NA	NA	NA	1	0	NA	NA	0	0	0	1	0	1	238	35	370	2107	281	187	93	261	217	264	208	2373	342	71	44	991	240	920	363	2110	9	Madagascar humid forests	FALSE
101174675	ALR2434	Dalbergia	notseen_normandii	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	242	29	357	1817	282	201	81	263	229	265	216	2781	362	103	37	1026	322	1004	605	9423	7	Madagascar humid forests	FALSE
101174676	ALR2435	Dalbergia	normandii	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	242	29	357	1816	282	201	81	263	229	265	216	2807	365	103	37	1037	324	1015	610	10614	7	Madagascar humid forests	FALSE
101174967	ALR2437	Dalbergia	normandii	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	240	29	360	1813	280	199	81	262	227	263	214	2853	374	104	37	1059	327	1050	615	10433	7	Madagascar humid forests	FALSE
101174974	ALR2438	Dalbergia	viguieri	NA	Baronii	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	250	49	544	1282	291	201	90	261	235	262	229	1190	235	27	75	662	94	441	116	12823	7	Madagascar dry deciduous forests	FALSE
101174998	ALR2439	Dalbergia	pseudobaronii	NA	Humbertii	N9	Ravo	1	0	0	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	256	42	522	1327	292	211	81	268	240	269	235	1159	218	32	69	625	109	508	134	3656	7	Madagascar dry deciduous forests	FALSE
101175006	ALR2440	Dalbergia	pseudobaronii	NA	Humbertii	NA	Ravo	1	0	0	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	256	42	522	1327	292	211	81	268	240	269	235	1159	218	32	69	625	109	508	134	3656	7	Madagascar dry deciduous forests	FALSE
101175010	ALR2441	Dalbergia	bracteolata	NA	Bracteolata	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	249	49	544	1279	291	200	90	261	235	262	229	1231	241	28	74	677	98	460	121	13378	7	Madagascar dry deciduous forests	FALSE
101175008	ALR2442	Dalbergia	abrahamii	NA	Chlorocarpa	N10	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	247	49	545	1271	289	198	90	259	233	260	227	1323	253	31	72	717	107	503	133	19808	7	Madagascar dry deciduous forests	FALSE
101177495	ALR2443	Dalbergia	urschii	NA	Chlorocarpa	N10	Ravo	1	0	0	1	NA	NA	D2	0	1	NA	NA	1	1	0	1	1	1	247	49	545	1271	289	198	90	259	233	260	227	1323	253	31	72	717	107	503	133	19808	7	Madagascar dry deciduous forests	FALSE
